Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,216.522,20.8649,226.336,21.9257,0.930077,2.87816,19.0455,27.1495,0.061524,0,23.2795,4.8e-05,0,3.80843,267494,403380952,98598,148685784,86476,130405808,3207,316,0,0,0,0
1,0,0,0,0,0.606476,3.62521,0.135392,45.6362,17.109,0,14.9172,1.01175,0,12.5981,0,0,0,0,0,0,0,0,86586,130571688,0,0
2,0,5.50818,0,4.13011,0.449421,5.42181,5.52586,38.6061,0.020748,0,8.41191,3.6e-05,0,30.1734,267495,403382460,28169,42478852,22829,34426132,817,190,0,0,0,0
3,0,0,0,0,0.174423,15.5379,0.043172,34.2476,4.37464,0,6.25672,0.639072,0,22.9772,0,0,0,0,0,0,0,0,22910,34548280,0,0
4,0,4.92308,0,6.90724,0.271266,10.4204,4.43459,34.8743,0.012456,0,1.69766,0,0,33.1642,267502,403393016,22486,33908888,20404,30769232,730,74,0,0,0,0
5,0,0,0,0,0.0795888,9.90345,0.02866,39.9889,3.895,0,13.3213,0,0,22.7725,0,0,0,0,0,0,0,0,20460,30853680,0,0
6,0,21.7922,0,25.4653,0.841518,4.73548,19.206,25.2184,0.055148,0,15.8626,0,0,9.30067,267506,403399048,99470,150000760,90319,136201052,3228,325,0,0,0,0
7,0,0,0,0,0.252527,7.01864,0.12668,42.5983,17.2009,0,15.6624,0.601612,0,9.13338,0,0,0,0,0,0,0,0,90375,136285500,0,0
8,0,5.53569,0,4.28513,0.344653,13.2351,5.24348,31.173,0.016944,0,5.83126,0,0,25.3248,261577,394458116,26685,40240980,22943,34598044,820,134,0,0,0,0
9,0,0,0,0,0.111973,18.3876,0.036304,31.4603,4.37101,0,4.88383,0.244904,0,21.9605,0,0,0,0,0,0,0,0,22943,34598044,0,0
10,0,7.28569,0,9.52694,0.505457,8.01615,6.93413,34.5433,0.023112,0,8.38192,2.4e-05,0,26.1382,267515,403412620,35421,53414868,30196,45535568,1082,184,0,0,0,0
11,0,0,0,0,0.0967292,17.4413,0.0491,32.409,5.78946,0,4.79442,0.213152,0,21.612,0,0,0,0,0,0,0,0,30251,45618508,0,0
12,0,12.0273,0,10.5192,0.780611,8.20668,11.4864,29.5253,0.040428,0,17.4181,1.2e-05,0,12.0667,267518,403417144,59057,89057956,49848,75170784,1797,314,0,0,0,0
13,0,0,0,0,0.0568911,9.5026,0.084532,40.3549,9.58684,0,18.9631,0.607128,0,11.1978,0,0,0,0,0,0,0,0,49876,75213008,0,0
14,0,7.35542,0,8.69754,0.497731,10.8237,6.86835,31.8092,0.02106,0,3.49728,0,0,28.2909,267524,403426192,34973,52739284,30485,45971380,1095,155,0,0,0,0
15,0,0,0,0,0.0751152,18.5559,0.04626,31.3217,5.83572,0,3.5537,0.06408,0,21.8682,0,0,0,0,0,0,0,0,30485,45971380,0,0
16,0,7.04586,0,7.92906,0.551796,8.39846,7.06999,33.984,0.02568,0,8.49181,1.2e-05,0,25.4665,267527,403430716,36177,54554916,29202,44036616,1044,248,0,0,0,0
17,0,0,0,0,0.201351,8.65711,0.052344,41.0882,5.57359,0,11.141,0.777496,0,23.596,0,0,0,0,0,0,0,0,29230,44078840,0,0
18,0,23.0707,0,23.0573,1.56665,2.78725,22.4983,23.1566,0.080472,0,15.2329,0.000168,0,7.84302,267532,403438256,116085,175056180,95618,144191944,3454,694,0,0,0,0
19,0,0,0,0,0.848198,4.32161,0.166328,44.6727,18.4869,0,18.8527,2.14576,0,5.18739,0,0,0,0,0,0,0,0,96010,144783080,0,0
20,0,23.1115,0,29.599,1.19844,2.22021,21.532,25.0579,0.069828,0,17.0317,0.000204,0,7.95622,267537,403445796,111498,168138984,95787,144446796,3427,555,0,0,0,0
21,0,0,0,0,0.684591,3.83548,0.150872,45.3323,18.3574,0,23.1848,0.271524,0,3.51856,0,0,0,0,0,0,0,0,96263,145164604,0,0
22,0,3.22061,0,0,0.917934,3.53699,4.07192,41.4764,0.020928,0,26.4245,0,0,15.0309,155731,234842348,20442,30826536,13348,20128784,512,219,0,0,0,0
