Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,236.409,31.399,264.649,40.2883,1.4407,2.55869,28.3557,17.6499,0.087732,0,14.3071,0.000156,0,3.25488,267494,403380952,146866,221473928,130135,196243580,4731,516,0,0,0,0
1,0,0,0,0,0.514475,4.34083,0.195736,44.9487,25.2754,0,11.6201,1.02772,0,7.02546,0,0,0,0,0,0,0,0,130499,196792492,0,0
2,0,5.53231,0,3.98534,0.438072,6.06241,5.45128,38.048,0.019836,0,7.24054,3.6e-05,0,30.7876,267498,403386984,27749,41845492,22929,34576932,821,171,0,0,0,0
3,0,0,0,0,0.15387,11.3005,0.041736,38.5036,4.39511,0,5.06547,0.56986,0,28.4732,0,0,0,0,0,0,0,0,23010,34699080,0,0
4,0,5.46572,0,6.94102,0.265925,11.8777,4.92536,32.9332,0.0138,0,1.067,0,0,31.8524,267502,403393016,25034,37751272,22653,34160724,810,85,0,0,0,0
5,0,0,0,0,0.048301,11.9725,0.0317,37.9496,4.31056,0,4.93662,0,0,28.7024,0,0,0,0,0,0,0,0,22653,34160724,0,0
6,0,16.6435,0,17.9295,0.836545,9.05957,15.0939,25.013,0.045956,0,9.18446,0,0,15.7826,267506,403399048,77817,117348036,68980,104021840,2466,314,0,0,0,0
7,0,0,0,0,0.0887982,11.2675,0.102224,38.5392,13.1574,0,8.66405,0.367356,0,16.3504,0,0,0,0,0,0,0,0,69091,104189228,0,0
8,0,12.7664,0,13.5865,0.684313,11.8558,11.9496,25.508,0.038628,0,4.73959,1.2e-05,0,20.7297,267511,403406588,61538,92799304,52911,79789788,1891,308,0,0,0,0
9,0,0,0,0,0.0744209,15.1034,0.083184,34.7379,10.0943,0,5.45123,0.383328,0,18.809,0,0,0,0,0,0,0,0,52995,79916460,0,0
10,0,11.7795,0,15.7803,0.756534,8.58902,11.4006,29.2581,0.039216,0,5.40656,0,0,23.8123,267515,403412620,58493,88207444,48821,73622068,1752,337,0,0,0,0
11,0,0,0,0,0.0878186,13.4153,0.081936,36.4138,9.34665,0,7.341,0.25042,0,19.4758,0,0,0,0,0,0,0,0,48849,73664292,0,0
12,0,10.0109,0,7.35542,0.718336,12.3028,10.0855,26.8927,0.040716,0,7.55187,1.2e-05,0,19.3001,267519,403418652,51637,77868596,41491,62568428,1521,325,0,0,0,0
13,0,0,0,0,0.0409004,15.2193,0.0809,34.6582,8.12548,0,9.11223,0.415464,0,17.0051,0,0,0,0,0,0,0,0,41533,62631764,0,0
14,0,13.8654,0,25.2083,0.591188,9.56534,12.29,27.5583,0.035652,0,4.7531,0,0,22.7695,267524,403426192,63365,95554420,57466,86658728,2059,204,0,0,0,0
15,0,0,0,0,0.0526154,12.7352,0.081392,37.1302,10.9703,0,3.08176,0.03746,0,23.0407,0,0,0,0,0,0,0,0,57466,86658728,0,0
16,0,5.97047,0,3.8273,0.580304,14.9904,6.36134,28.0674,0.025068,0,5.83549,2.4e-05,0,22.2068,267528,403432224,32341,48770228,24745,37315460,885,271,0,0,0,0
17,0,0,0,0,0.165642,12.7577,0.049532,37.0266,4.73358,0,6.66148,0.51662,0,25.1149,0,0,0,0,0,0,0,0,24801,37399908,0,0
18,0,19.1514,0,16.5283,1.82489,3.83926,20.7709,23.5741,0.087624,0,10.0356,0.000408,0,13.4504,267532,403438256,106658,160840264,79374,119695992,2910,901,0,0,0,0
19,0,0,0,0,0.547421,6.25641,0.168872,43.0364,15.7134,0,13.7003,2.36405,0,11.2586,0,0,0,0,0,0,0,0,80273,121051684,0,0
20,0,10.4554,0,7.45736,0.951077,3.28175,11.6396,34.1273,0.048876,0,14.3721,0.000468,0,19.7058,267537,403445796,59787,90158796,43333,65346164,1573,563,0,0,0,0
21,0,0,0,0,0.475475,4.66041,0.094084,44.7698,8.60479,0,31.6097,0.521752,0,4.03349,0,0,0,0,0,0,0,0,44237,66709396,0,0
22,0,2.99766,0,1.30713,0.440173,15.0798,4.36382,30.1159,0.025044,0,15.8421,1.2e-05,0,14.2488,267539,403448812,21987,33156396,12424,18735392,503,283,0,0,0,0
23,0,0,0,0,0.173938,17.5199,0.04462,32.2613,2.69838,0,11.4305,0.869144,0,17.2633,0,0,0,0,0,0,0,0,12451,18776108,0,0
24,0,17.2918,0,28.6279,0.685427,12.1539,14.9215,22.2356,0.040032,0,2.13434,0,0,20.0612,267544,403456352,77099,116265292,71667,108073836,2560,194,0,0,0,0
25,0,0,0,0,0.0604364,15.3878,0.095112,34.4531,13.634,0,2.36858,0,0,18.4505,0,0,0,0,0,0,0,0,71667,108073836,0,0
26,0,12.2442,0,10.8582,0.666388,8.42686,11.7232,29.1857,0.039648,0,7.39418,0.00018,0,21.7517,267548,403462384,60340,90992720,50747,76526476,1820,335,0,0,0,0
27,0,0,0,0,0.0804284,13.935,0.084044,35.9027,9.79887,0,5.32644,0.548372,0,20.229,0,0,0,0,0,0,0,0,51243,77274444,0,0
28,0,6.02549,0,4.68988,0.508417,12.1732,6.50927,30.8079,0.027432,0,5.28415,1.2e-05,0,25.4963,267552,403468416,33082,49887656,24973,37659284,942,242,0,0,0,0
29,0,0,0,0,0.0923386,13.7907,0.053092,36.056,5.02411,0,11.0648,0.373252,0,19.5938,0,0,0,0,0,0,0,0,24999,37698492,0,0
30,0,9.55155,0,13.2843,0.545324,10.7302,9.11634,29.6071,0.030372,0,2.26416,1.2e-05,0,27.3125,267557,403475956,46760,70514080,39587,59697196,1415,255,0,0,0,0
31,0,0,0,0,0.0645836,13.3995,0.064316,36.4705,7.55415,0,4.75406,0.31944,0,23.8428,0,0,0,0,0,0,0,0,39643,59781644,0,0
32,0,7.13393,0,2.88511,0.601117,13.025,8.33368,28.039,0.042684,0,6.09201,0.000948,0,21.9033,267559,403478972,42522,64123176,29567,44587036,1125,395,0,0,0,0
33,0,0,0,0,0.160853,15.6458,0.082048,34.1101,6.42591,0,5.28249,1.11272,0,21.289,0,0,0,0,0,0,0,0,30688,46277504,0,0
34,0,12.1275,0,11.9241,0.596596,11.2119,11.2793,26.9117,0.036612,0,8.56628,2.4e-05,0,18.3088,267565,403488020,58100,87614800,50263,75796604,1803,272,0,0,0,0
35,0,0,0,0,0.0912747,12.6457,0.078976,37.1835,9.62105,0,7.63697,0.260876,0,19.6646,0,0,0,0,0,0,0,0,50319,75881052,0,0
36,0,4.69,0,3.5064,0.543004,11.5782,5.59594,32.282,0.025404,0,11.0876,0.000144,0,21.1689,267569,403494052,28308,42688464,19438,29312504,721,290,0,0,0,0
37,0,0,0,0,0.177704,13.2106,0.04848,36.5624,3.91574,0,10.734,0.276848,0,21.6358,0,0,0,0,0,0,0,0,19758,29795064,0,0
38,0,21.3067,0,28.6785,1.20402,10.0896,19.8154,18.9054,0.071112,0,7.50706,0,0,11.3272,267574,403501592,102363,154363404,88307,133166956,3254,404,0,0,0,0
39,0,0,0,0,0.457034,6.1564,0.14962,43.246,17.3349,0,10.3294,0.362032,0,15.2198,0,0,0,0,0,0,0,0,88307,133166956,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
