Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,206.122,26.8147,214.31,26.2862,1.48255,4.77457,25.8702,17.8821,0.096728,0,11.5271,0.000276,0,6.25802,267494,403380952,133761,201711588,111135,167591580,4121,657,0,0,0,0
1,0,0,0,0,1.05642,6.63868,0.20028,42.1088,22.0509,0,9.1625,1.94876,0,8.94662,0,0,0,0,0,0,0,0,111375,167953500,0,0
2,0,5.03479,0,5.74548,0.696403,11.13,6.7916,31.3862,0.03654,0,10.6691,7.2e-05,0,20.6805,267498,403386984,34406,51884248,20867,31467436,817,413,0,0,0,0
3,0,0,0,0,0.352157,13.3298,0.064992,36.2573,4.40609,0,8.11898,1.4277,0,22.3045,0,0,0,0,0,0,0,0,20993,31657444,0,0
4,0,9.2736,0,10.5988,0.643735,16.1234,9.40584,23.8314,0.039264,0,4.48432,0,0,19.3078,267502,403393016,48106,72543848,38435,57959980,1448,271,0,0,0,0
5,0,0,0,0,0.175317,16.72,0.077444,33.0316,7.72599,0,4.77109,0.521788,0,20.0128,0,0,0,0,0,0,0,0,38463,58002204,0,0
6,0,12.8544,0,9.09626,0.961628,12.0513,13.392,23.5994,0.057408,0,7.05251,4.8e-05,0,16.4894,267506,403399048,68686,103578488,53276,80340208,1992,462,0,0,0,0
7,0,0,0,0,0.296619,13.5099,0.111668,36.0862,10.6732,0,7.13723,1.1026,0,17.1731,0,0,0,0,0,0,0,0,53423,80561884,0,0
8,0,8.2139,0,10.6712,0.835113,13.5759,9.88144,25.7074,0.049428,0,7.11177,1.2e-05,0,18.5462,267511,403406588,50507,76164556,34043,51336844,1299,507,0,0,0,0
9,0,0,0,0,0.333016,15.2487,0.089776,34.3261,6.95125,0,7.12062,1.46472,0,18.7895,0,0,0,0,0,0,0,0,34096,51416768,0,0
10,0,9.64203,0,11.5724,1.21601,12.0641,11.777,24.9405,0.060864,0,8.5161,1.2e-05,0,16.3635,267515,403412620,59926,90368408,39962,60262696,1516,626,0,0,0,0
11,0,0,0,0,0.339981,13.6172,0.109332,35.9312,8.1193,0,7.45001,1.88124,0,18.4806,0,0,0,0,0,0,0,0,39997,60315476,0,0
12,0,9.60101,0,9.39484,1.42485,13.2702,12.712,22.596,0.069864,0,7.52807,6e-05,0,14.998,267519,403418652,64541,97327828,39792,60006336,1530,775,0,0,0,0
13,0,0,0,0,0.275927,14.4385,0.122692,35.1605,8.2219,0,7.78123,2.26432,0,16.8931,0,0,0,0,0,0,0,0,39909,60182772,0,0
14,0,9.27939,0,8.08288,0.788243,13.033,9.85988,26.3166,0.0414,0,4.92672,0,0,21.3484,267496,403383968,50389,75986612,38459,57996172,1450,354,0,0,0,0
15,0,0,0,0,0.224633,15.2227,0.080696,34.4696,7.75005,0,4.80886,0.773504,0,21.1372,0,0,0,0,0,0,0,0,38525,58095700,0,0
16,0,4.55537,0,3.41351,0.882219,15.1954,6.40678,27.5125,0.034916,0,8.59654,1.2e-05,0,18.8811,267528,403432224,32172,48515376,18880,28471040,718,433,0,0,0,0
17,0,0,0,0,0.370176,11.6683,0.06054,37.8983,3.83718,0,10.3864,1.34762,0,22.3271,0,0,0,0,0,0,0,0,18882,28474056,0,0
18,0,20.2405,0,24.9001,3.12957,5.20775,24.2265,17.4487,0.11688,0,9.28426,1.2e-05,0,8.04754,267532,403438256,123288,185918304,83888,126503104,3144,1260,0,0,0,0
19,0,0,0,0,0.846471,7.67469,0.212976,41.273,16.8035,0,12.9805,3.56918,0,7.91992,0,0,0,0,0,0,0,0,83889,126504612,0,0
20,0,10.0011,0,12.0676,2.05527,8.30314,13.6687,25.9947,0.073572,0,14.7624,4.8e-05,0,11.1588,267537,403445796,69162,104296296,41450,62506600,1579,892,0,0,0,0
