Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,234.896,13.9672,272.266,1.18649,0.905429,4.8666,14.1332,30.0962,0.05706,0,6.47987,0.000228,0,23.559,198628,299531024,72773,109741684,57888,87295104,2171,431,0,0,0,0
1,0,0,0,0,0.564523,6.22562,0.114772,43.0965,11.6301,0,4.57744,1.35249,0,25.5364,0,0,0,0,0,0,0,0,58145,87682660,0,0
2,0,2.44586,0,0.0319696,0.503687,18.7768,4.20572,26.4378,0.026388,0,4.92963,3.6e-05,0,21.4818,172237,259733396,21193,31959044,10137,15286596,399,361,0,0,0,0
3,0,0,0,0,0.314288,9.57124,0.043804,40.0736,2.15188,0,4.53052,1.38413,0,32.0071,0,0,0,0,0,0,0,0,10168,15333344,0,0
4,0,34.7607,0,58.2637,1.03859,8.39991,29.8892,10.6805,0.088544,0,2.10579,0,0,8.48617,267502,403393016,155203,234046124,144068,217254544,5227,316,0,0,0,0
5,0,0,0,0,0.1758,10.4741,0.203976,39.149,27.8531,0,1.92678,0.622908,0,8.74622,0,0,0,0,0,0,0,0,144124,217338992,0,0
6,0,3.38033,0,0.101338,0.85669,16.0258,4.69,28.4258,0.026652,0,3.18228,0,0,25.2169,176924,266801392,23684,35715472,14010,21127080,541,309,0,0,0,0
7,0,0,0,0,0.212982,10.6098,0.046004,39.1297,2.8924,0,9.52572,1.27274,0,25.4388,0,0,0,0,0,0,0,0,14058,21199464,0,0
8,0,4.53438,0,0,0.616336,10.7623,5.95376,32.6667,0.031188,0,7.46074,0,0,25.1748,111887,168725596,30216,45565728,18793,28339844,735,346,0,0,0,0
9,0,0,0,0,0.238298,12.2941,0.055208,37.4114,3.92992,0,7.16898,1.15633,0,25.1562,0,0,0,0,0,0,0,0,18793,28339844,0,0
10,0,6.43228,0,1.76798,4.00294,9.3876,9.02678,27.5817,0.0558,0,5.98074,1.2e-05,0,21.5452,175913,265276804,45786,69045288,26659,40201772,1062,575,0,0,0,0
11,0,0,0,0,0.307874,11.76,0.095452,37.8358,5.69724,0,4.67652,1.88079,0,25.5812,0,0,0,0,0,0,0,0,26713,40283204,0,0
12,0,14.265,0,13.5835,2.12851,12.1072,16.7093,19.043,0.08352,0,3.8736,6e-05,0,15.0858,224780,338968240,85591,129071228,59122,89155976,2212,846,0,0,0,0
13,0,0,0,0,0.184877,14.8829,0.151904,34.7773,11.8302,0,3.4619,2.81101,0,16.6741,0,0,0,0,0,0,0,0,59174,89234392,0,0
14,0,20.0755,0,35.8138,1.00623,11.225,18.4437,19.3274,0.063392,0,3.9762,0,0,15.2878,267524,403426192,95151,143487708,83204,125471632,3043,358,0,0,0,0
15,0,0,0,0,0.219317,12.6571,0.13572,36.9848,16.221,0,3.5761,0.905152,0,16.2826,0,0,0,0,0,0,0,0,83255,125548540,0,0
16,0,4.07643,0,3.16378,0.694032,15.6054,6.48008,27.2175,0.037908,0,4.89748,0,0,22.2821,267528,403432224,32789,49445812,16895,25477660,647,525,0,0,0,0
17,0,0,0,0,0.260139,13.8019,0.063508,35.8712,3.4726,0,6.19242,1.91704,0,24.2891,0,0,0,0,0,0,0,0,16923,25519884,0,0
18,0,16.4898,0,14.2204,3.24986,6.77811,22.0955,17.8822,0.117104,0,6.28171,7.2e-05,0,11.4833,267532,403438256,111469,168095252,68343,103061244,2579,1404,0,0,0,0
19,0,0,0,0,0.648542,8.81262,0.204876,40.3397,13.8245,0,10.0903,3.89864,0,12.5263,0,0,0,0,0,0,0,0,68409,103160772,0,0
20,0,30.2061,0,56.8046,2.05655,4.65844,29.063,14.2287,0.132756,0,7.06461,3.6e-05,0,7.03132,267537,403445796,149555,225528940,125191,188788028,4595,746,0,0,0,0
21,0,0,0,0,0.684481,5.82536,0.257668,43.2339,24.5436,0,12.4191,1.95312,0,4.31813,0,0,0,0,0,0,0,0,125233,188851364,0,0
22,0,1.71622,0,0,1.09896,8.75075,3.38724,36.7644,0.02274,0,28.3812,0,0,8.36053,125208,188813664,16326,24619608,7113,10726404,295,289,0,0,0,0
23,0,0,0,0,0.2169,13.3864,0.037388,36.3607,1.58538,0,6.35916,0.752484,0,27.6637,0,0,0,0,0,0,0,0,7113,10726404,0,0
24,0,11.4811,0,0.517546,0.899651,24.0258,11.5556,13.443,0.046008,0,1.64921,0,0,11.7478,237714,358472712,59300,89424400,47584,71756672,1750,375,0,0,0,0
25,0,0,0,0,0.171962,22.1907,0.091628,27.5469,9.31834,0,1.84808,0.6655,0,15.7149,0,0,0,0,0,0,0,0,47639,71839612,0,0
26,0,2.28709,0,0.40535,0.432676,19.2605,3.6221,26.6874,0.02196,0,2.56965,1.2e-05,0,24.0958,202362,305161896,18118,27321944,9479,14294332,382,266,0,0,0,0
27,0,0,0,0,0.194412,19.0531,0.037312,30.7185,2.05272,0,2.24671,0.91688,0,25.5022,0,0,0,0,0,0,0,0,9489,14309412,0,0
28,0,20.8432,0,33.2532,1.41168,7.00535,21.9452,19.6368,0.087788,0,8.46822,9.6e-05,0,11.0807,267552,403468416,113105,170562340,86386,130270088,3140,905,0,0,0,0
29,0,0,0,0,0.295177,10.0018,0.171924,39.5301,16.7999,0,7.35088,2.49044,0,12.8889,0,0,0,0,0,0,0,0,86582,130565656,0,0
30,0,15.4255,0,19.6094,1.84497,6.93039,18.7711,22.4579,0.093748,0,9.02053,4.8e-05,0,13.3436,267557,403475956,95913,144636804,63932,96409456,2381,1051,0,0,0,0
31,0,0,0,0,0.492927,11.3656,0.168792,37.9717,12.7148,0,9.77602,3.11159,0,12.3693,0,0,0,0,0,0,0,0,63940,96421520,0,0
32,0,1.09565,0,0,2.77281,17.8553,2.71102,26.6599,0.018948,0,5.09473,0.000132,0,21.5461,59139,89181612,13274,20017192,4541,6847828,179,296,0,0,0,0
33,0,0,0,0,0.334396,22.4148,0.030236,27.2196,0.981892,0,3.2506,1.15148,0,21.8356,0,0,0,0,0,0,0,0,4514,6807112,0,0
34,0,4.16039,0,0.0319696,0.513528,16.8885,5.92594,26.669,0.035784,0,3.54711,0,0,23.0861,203732,307227856,30131,45437548,17243,26002444,710,367,0,0,0,0
35,0,0,0,0,0.147507,17.3454,0.061444,32.4426,3.80585,0,4.86196,1.38532,0,22.3895,0,0,0,0,0,0,0,0,17270,26043160,0,0
36,0,3.49446,0,3.35379,0.691977,13.9588,5.97371,29.3714,0.037164,0,9.20144,1.2e-05,0,20.1328,204087,307763196,30128,45433024,14483,21840364,573,503,0,0,0,0
37,0,0,0,0,0.377616,11.6675,0.06284,37.8879,3.07952,0,14.2008,1.8221,0,18.7854,0,0,0,0,0,0,0,0,14498,21862984,0,0
38,0,23.7586,0,30.1576,1.85266,6.24676,25.6466,16.2651,0.123288,0,6.74414,6e-05,0,9.39758,267574,403501592,131973,199015284,98469,148491252,3814,901,0,0,0,0
39,0,0,0,0,0.925554,7.34282,0.232232,41.5051,20.3764,0,9.09144,2.96047,0,9.07687,0,0,0,0,0,0,0,0,98609,148702372,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,243.726,15.0103,305.198,18.7969,3.68224,5.90336,19.5581,20.8574,0.10884,0,6.93186,7.2e-05,0,13.8166,267494,403380952,97674,147292392,62211,93814188,2390,1101,0,0,0,0
1,0,0,0,0,0.375301,9.37087,0.190844,40.0641,12.8167,0,12.8394,2.77957,0,11.6284,0,0,0,0,0,0,0,0,62267,93898636,0,0
2,0,2.58001,0,0,0.90525,12.0402,5.3983,31.6574,0.038664,0,4.51823,7.2e-05,0,27.1004,163862,247103896,26938,40622504,10693,16125044,446,518,0,0,0,0
3,0,0,0,0,0.190625,25.215,0.062172,24.5281,2.41578,0,4.89206,1.85913,0,15.3611,0,0,0,0,0,0,0,0,10718,16162744,0,0
4,0,4.22312,0,0.998296,0.627105,9.13611,6.38358,33.8538,0.039168,0,17.345,0,0,16.4696,230665,347842820,32333,48758164,17503,26394524,736,423,0,0,0,0
5,0,0,0,0,0.139826,10.9361,0.067036,38.8577,3.94109,0,12.9488,1.38512,0,20.5827,0,0,0,0,0,0,0,0,17506,26399048,0,0
6,0,28.5683,0,51.5422,1.48568,7.52942,27.3537,13.6373,0.096492,0,5.0759,2.4e-05,0,8.46491,267506,403399048,141330,213125640,118403,178551724,4349,699,0,0,0,0
7,0,0,0,0,0.233345,9.47255,0.202232,40.0925,23.2005,0,5.1474,1.95975,0,9.78482,0,0,0,0,0,0,0,0,118438,178604504,0,0
8,0,2.93421,0,0,1.12616,10.6162,5.41066,32.8479,0.036948,0,5.18639,6e-05,0,27.6245,107576,162224608,26915,40587820,12161,18338788,507,456,0,0,0,0
