Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,294.007,47.8128,304.621,51.3836,1.71329,0.831862,40.374,7.08876,0.107136,0,2.58673,0.000216,0,4.39468,267494,403380952,209581,316048148,198163,298829804,7104,381,0,0,0,0
1,0,0,0,0,0.0686147,3.26112,0.258912,46.4139,37.9339,0,1.52652,0.415464,0,6.53802,0,0,0,0,0,0,0,0,198638,299546104,0,0
2,0,0.718049,0,0,0.11095,7.68393,0.804232,41.4035,0.002832,0,0.506744,0,0,40.8939,76452,115289616,3606,5437848,2976,4487808,108,23,0,0,0,0
3,0,0,0,0,0.0288358,9.90047,0.0057,40.0676,0.569528,0,0.551312,0.053432,0,38.8933,0,0,0,0,0,0,0,0,2976,4487808,0,0
4,0,4.44583,0,2.38143,0.204361,5.47126,3.95134,40.3759,0.010548,0,0.250216,0,0,40.1151,267502,403393016,19970,30114760,18426,27786408,659,56,0,0,0,0
5,0,0,0,0,0.0128619,5.69138,0.024828,44.2738,3.50556,0,0.558272,0,0,40.2099,0,0,0,0,0,0,0,0,18426,27786408,0,0
6,0,48.6457,0,53.4514,1.38312,2.67759,40.6151,5.32794,0.103068,0,0.759712,3.6e-05,0,4.46512,267506,403399048,211120,318368960,201615,304035420,7201,338,0,0,0,0
7,0,0,0,0,0.00541079,5.04997,0.254156,44.6889,38.3719,0,1.89793,0.07986,0,4.33919,0,0,0,0,0,0,0,0,201727,304204316,0,0
8,0,2.26465,0,1.19011,0.13592,23.5402,2.24499,24.0775,0.007344,0,0.301436,1.2e-05,0,23.7687,267511,403406588,11061,16679988,9386,14154088,336,60,0,0,0,0
9,0,0,0,0,0.00505759,30.3573,0.015476,19.6207,1.79667,0,0.598428,0.07986,0,17.1457,0,0,0,0,0,0,0,0,9387,14155596,0,0
10,0,23.3716,0,25.0406,0.979983,7.84766,21.229,19.9424,0.072204,0,0.581136,0.000192,0,19.2888,267515,403412620,109958,165816664,96865,146072420,3481,450,0,0,0,0
11,0,0,0,0,0.0118702,19.4747,0.155312,30.3572,18.6567,0,0.890012,0.564536,0,10.2459,0,0,0,0,0,0,0,0,97439,146938012,0,0
