Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,242.694,37.475,284.499,57.4554,3.09616,4.49193,64.1046,28.3122,0.173556,0,21.7651,0.000252,0,6.37328,534985,806757380,332137,500862596,310635,468437580,11175,687,0,0,0,0
1,0,0,0,0,0.69507,7.65353,0.414232,91.242,59.6477,0,15.5992,1.11291,0,14.8821,0,0,0,0,0,0,0,0,311247,469360476,0,0
2,0,3.71945,0,0.55615,0.577113,10.601,7.42847,81.3982,0.027348,0,13.1137,9.6e-05,0,68.2571,453721,684211268,37633,56750564,30831,46493148,1103,242,0,0,0,0
3,0,0,0,0,0.382403,27.9301,0.057448,71.6348,5.92656,0,10.0551,0.86268,0,54.7905,0,0,0,0,0,0,0,0,31052,46826416,0,0
4,0,10.8794,0,13.6299,1.0789,14.0572,19.2471,65.6188,0.054072,0,3.85786,0,0,61.7069,528732,797327856,99038,149349304,90181,135992948,3222,316,0,0,0,0
5,0,0,0,0,0.201039,15.7333,0.125128,83.9425,17.1819,0,13.1207,0,0,53.6399,0,0,0,0,0,0,0,0,90293,136161844,0,0
6,0,11.8903,0,0,18.9108,15.661,21.847,43.5657,0.0663,0,11.6547,0,0,31.8447,322782,486755256,112030,168941240,98560,148628480,3521,481,0,0,0,0
7,0,0,0,0,0.166173,18.6719,0.146868,81.0127,18.7851,0,21.1371,0.373064,0,40.7174,0,0,0,0,0,0,0,0,98672,148797376,0,0
8,0,4.86843,0,0,2.42884,24.5508,8.94462,64.0758,0.026856,0,6.05273,0,0,57.9962,323649,488062692,45362,68405896,40355,60855340,1442,179,0,0,0,0
9,0,0,0,0,0.113889,23.4769,0.05974,76.3496,7.69502,0,5.67672,0.202696,0,62.7751,0,0,0,0,0,0,0,0,40409,60936772,0,0
10,0,2.27177,0,0,3.78298,12.9096,4.61639,78.6908,0.015576,0,11.6186,3.6e-05,0,67.0567,135570,204439560,22755,34314540,18831,28397148,678,137,0,0,0,0
11,0,0,0,0,0.252776,24.7105,0.032364,75.0042,3.62933,0,7.25446,0.181208,0,63.9392,0,0,0,0,0,0,0,0,18943,28566044,0,0
12,0,33.5881,0,53.9249,3.14715,8.57568,60.1463,28.136,0.203424,0,15.2539,0,0,12.6787,535039,806838812,311085,469116180,278416,419851328,10060,1051,0,0,0,0
13,0,0,0,0,0.124072,14.6874,0.439412,84.7489,53.6535,0,19.2852,0.72958,0,11.0807,0,0,0,0,0,0,0,0,278567,420079036,0,0
14,0,3.12518,0,0,11.6192,11.3032,5.93361,71.1438,0.017484,0,3.90937,0,0,67.2169,158770,239425160,29569,44590052,25905,39064740,929,128,0,0,0,0
15,0,0,0,0,0.0880298,24.7901,0.038772,75.0828,4.95078,0,4.24945,0.021488,0,65.8611,0,0,0,0,0,0,0,0,25905,39064740,0,0
16,0,3.82984,0,0.118227,1.35076,18.2928,8.10712,72.2491,0.03042,0,9.54224,2.4e-05,0,62.6764,443826,669289608,40713,61395204,31746,47872968,1135,320,0,0,0,0
17,0,0,0,0,0.272064,13.105,0.060516,86.5621,6.08739,0,12.3154,0.6231,0,67.5362,0,0,0,0,0,0,0,0,31914,48126312,0,0
18,0,21.0413,0,25.3434,3.92706,6.21123,45.9933,43.878,0.19896,0,18.2628,7.2e-05,0,25.4162,535065,806878020,235987,355868396,174414,263016312,6584,1846,0,0,0,0
19,0,0,0,0,1.20212,9.9776,0.38088,88.449,35.1702,0,41.2398,5.81932,0,6.21968,0,0,0,0,0,0,0,0,174480,263115840,0,0
20,0,8.77354,0,0,3.36348,4.72971,18.0907,73.8209,0.067224,0,24.7567,0.000468,0,48.9965,273973,413151284,92694,139782552,72725,109669300,2618,694,0,0,0,0
21,0,0,0,0,0.96378,7.74383,0.135752,91.1614,14.1697,0,70.3405,0.7986,0,5.85265,0,0,0,0,0,0,0,0,73486,110816888,0,0
22,0,2.64588,0,0,0.946247,39.2866,7.10488,52.6615,0.038652,0,26.2808,1.2e-05,0,26.342,376075,567121100,35702,53838616,21932,33073456,857,419,0,0,0,0
23,0,0,0,0,0.335571,42.077,0.071044,56.9279,4.59107,0,17.9888,1.21958,0,33.1285,0,0,0,0,0,0,0,0,21959,33114172,0,0
24,0,22.1386,0,44.9432,1.59695,18.7878,37.398,42.2246,0.096036,0,3.77235,0,0,38.3562,535088,806912704,193674,292060392,183510,276733080,6555,362,0,0,0,0
25,0,0,0,0,0.0957907,22.9227,0.234472,76.7491,34.9221,0,4.1811,0,0,37.6458,0,0,0,0,0,0,0,0,183594,276859752,0,0
26,0,4.14712,0,0,1.30343,18.469,7.81902,72.4106,0.024852,0,18.2075,2.4e-05,0,54.1782,331873,500464484,39564,59662512,34376,51839008,1231,182,0,0,0,0
27,0,0,0,0,0.106052,21.19,0.0538,78.6522,6.5827,0,11.7287,0.436568,0,59.9042,0,0,0,0,0,0,0,0,34488,52007904,0,0
28,0,7.9556,0,8.44239,1.02105,15.5255,15.496,67.9576,0.057416,0,6.3477,0.00024,0,61.5522,520786,785345288,79412,119753296,65945,99445060,2473,372,0,0,0,0
29,0,0,0,0,0.160452,21.0675,0.119208,78.6529,13.2622,0,10.9055,0.692312,0,53.7929,0,0,0,0,0,0,0,0,66552,100360416,0,0
30,0,25.6005,0,46.7637,2.27696,14.2194,45.1989,38.3102,0.130092,0,6.47628,0.000432,0,31.7034,535114,806951912,233716,352443728,212206,320006648,7581,765,0,0,0,0
31,0,0,0,0,0.201309,19.1856,0.299296,80.3139,40.5929,0,9.1666,0.590964,0,29.9634,0,0,0,0,0,0,0,0,213270,321611160,0,0
32,0,9.35998,0,1.27215,1.27149,43.1012,19.3182,35.7189,0.092916,0,12.7322,0.001236,0,22.8925,484963,731324204,99059,149380972,77586,116999688,2871,668,0,0,0,0
33,0,0,0,0,0.383137,48.2912,0.183652,50.9192,15.8317,0,4.0321,1.709,0,29.3464,0,0,0,0,0,0,0,0,79579,120005132,0,0
34,0,0.266494,0,0,11.0277,42.1693,0.74578,46.0569,0.002856,0,12.8618,0,0,33.1922,17370,26193960,2646,3990168,2209,3331172,82,13,0,0,0,0
35,0,0,0,0,0.117029,44.9088,0.005276,54.9686,0.435312,0,5.7777,0.010648,0,48.7449,0,0,0,0,0,0,0,0,2209,3331172,0,0
36,0,1.89332,0,0,11.6465,18.6026,4.50344,65.2472,0.0186,0,39.1419,7.2e-05,0,26.0866,194079,292671132,22008,33188064,15694,23666552,578,208,0,0,0,0
37,0,0,0,0,0.190868,18.3573,0.035756,81.4158,3.11825,0,43.1002,0.207636,0,34.9897,0,0,0,0,0,0,0,0,15809,23839972,0,0
38,0,27.224,0,32.0498,3.90926,5.22766,49.6743,41.2037,0.201216,0,10.9961,1.2e-05,0,30.0063,535148,807003184,255201,384843108,225663,340299804,8460,656,0,0,0,0
39,0,0,0,0,1.64284,7.90628,0.412424,90.0481,45.123,0,34.5701,0.2662,0,10.0888,0,0,0,0,0,0,0,0,225765,340453620,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,240.91,9.39014,290.575,0.798034,2.80413,6.90024,24.5829,65.7133,0.194712,0,10.8638,0.000564,0,54.6542,469749,708381492,125481,189225348,77836,117376688,3730,773,0,0,0,0
