Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,250.754,28.2651,275.317,34.9753,4.09833,6.08849,49.4052,40.4174,0.136464,0,26.6734,0.00018,0,13.6074,242960,366383680,256229,386393332,234293,353313844,8432,719,0,0,0,0
1,0,0,0,0,0.87615,9.40138,0.320484,89.4062,45.009,0,20.9422,1.41105,0,22.0439,0,0,0,0,0,0,0,0,234293,353313844,0,0
2,0,5.73221,0,3.884,0.893364,13.8176,11.3337,73.9595,0.040672,0,10.9305,4.8e-05,0,62.9882,102713,154891204,57755,87094540,47515,71652620,1702,365,0,0,0,0
3,0,0,0,0,0.307171,23.7219,0.085932,75.8892,9.0849,0,8.08003,1.08287,0,57.6414,0,0,0,0,0,0,0,0,47542,71693336,0,0
4,0,9.83735,0,14.3218,0.852557,19.8183,17.2228,62.1102,0.047816,0,2.45022,0,0,59.6121,128026,193063208,88572,133566576,81543,122966844,2920,254,0,0,0,0
5,0,0,0,0,0.0852335,20.0567,0.111716,79.7503,15.531,0,7.40472,0,0,56.8146,0,0,0,0,0,0,0,0,81627,123093516,0,0
6,0,19.289,0,24.1636,1.92424,18.6255,33.799,45.6562,0.095592,0,11.6459,1.2e-05,0,33.9147,189640,285977120,174975,263862300,159889,241112612,5711,540,0,0,0,0
7,0,0,0,0,0.110334,23.418,0.221284,76.2499,30.4422,0,13.5404,0.489808,0,31.7774,0,0,0,0,0,0,0,0,159940,241189520,0,0
8,0,9.05946,0,7.58645,0.990999,25.4004,16.6109,56.9973,0.05116,0,8.4696,0,0,48.4765,123035,185536780,85305,128639940,75095,113243260,2690,368,0,0,0,0
9,0,0,0,0,0.0911703,34.0523,0.112936,65.7438,14.3107,0,9.7033,0.585832,0,41.1441,0,0,0,0,0,0,0,0,75095,113243260,0,0
10,0,17.3157,0,22.965,2.5042,14.948,31.1541,51.3938,0.092456,0,6.70596,7.2e-05,0,44.5954,180790,272631320,161063,242883004,143532,216446256,5147,614,0,0,0,0
11,0,0,0,0,0.119606,24.9731,0.208584,74.6989,27.4424,0,10.1407,0.426112,0,36.6897,0,0,0,0,0,0,0,0,143584,216524672,0,0
12,0,8.06696,0,6.447,1.87243,23.3114,16.4537,58.3606,0.059304,0,13.876,2.4e-05,0,44.4252,117321,176920068,84297,127119876,66868,100836944,2487,539,0,0,0,0
13,0,0,0,0,0.0590162,35.6445,0.122264,64.1723,13.2325,0,14.0591,0.76704,0,36.1137,0,0,0,0,0,0,0,0,66924,100921392,0,0
14,0,15.6431,0,23.1188,1.74005,16.0363,27.691,54.5361,0.079408,0,9.32731,0,0,45.1294,168706,254408648,143086,215773688,129668,195539344,4647,468,0,0,0,0
15,0,0,0,0,0.110448,21.5117,0.18224,78.1938,24.738,0,7.41557,0.074728,0,45.9654,0,0,0,0,0,0,0,0,129668,195539344,0,0
