Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,282.185,43.6185,333.878,56.3226,3.5634,2.9089,72.5676,20.9669,0.180852,0,16.9983,0.000204,0,3.78749,364917,550294836,377451,569196108,361559,545230972,12959,522,0,0,0,0
1,0,0,0,0,0.56239,6.27651,0.451336,92.7112,69.1105,0,13.6523,0.873328,0,9.07501,0,0,0,0,0,0,0,0,361587,545273196,0,0
2,0,3.44319,0,0.776318,0.543604,7.85079,6.74296,84.8641,0.024128,0,8.39351,3.2e-05,0,76.4464,79372,119692976,34014,51293112,28541,43039828,1031,205,0,0,0,0
3,0,0,0,0,0.172181,14.2356,0.050744,85.5429,5.44785,0,5.87707,0.597248,0,73.6207,0,0,0,0,0,0,0,0,28542,43041336,0,0
4,0,1.53382,0,0.795018,0.191273,17.4868,2.90322,79.4232,0.008072,0,1.61101,0,0,77.8042,72116,108750928,14034,21163272,12714,19172712,482,51,0,0,0,0
5,0,0,0,0,0.0526234,16.9879,0.018712,82.9454,2.41933,0,6.81292,0,0,73.7131,0,0,0,0,0,0,0,0,12714,19172712,0,0
6,0,33.8656,0,54.3489,2.37496,12.1804,56.6791,28.771,0.144308,0,9.78114,3.6e-05,0,18.8455,298435,450039980,294513,444125604,280716,423319728,10033,495,0,0,0,0
7,0,0,0,0,0.117652,18.3725,0.355176,81.1548,53.4035,0,8.77814,0.234256,0,18.7389,0,0,0,0,0,0,0,0,280716,423319728,0,0
8,0,6.54424,0,2.4122,0.820198,37.2119,12.4059,49.5621,0.040776,0,6.67427,0,0,42.8471,106234,160200872,63373,95566484,54246,81802968,1944,328,0,0,0,0
9,0,0,0,0,0.0777291,34.5822,0.087036,65.2479,10.3375,0,8.51027,0.51662,0,45.8835,0,0,0,0,0,0,0,0,54246,81802968,0,0
10,0,21.7664,0,35.0284,2.55382,11.9329,38.5383,46.9703,0.110504,0,5.70426,3.6e-05,0,41.1555,209679,316195932,199627,301037516,180424,272079392,6471,668,0,0,0,0
11,0,0,0,0,0.107519,27.5911,0.253916,72.0423,34.4733,0,8.36715,0.628424,0,28.5734,0,0,0,0,0,0,0,0,180424,272079392,0,0
12,0,6.26652,0,2.20711,1.27131,23.2534,12.9122,62.5607,0.046672,0,11.7054,3.6e-05,0,50.8086,106704,160909632,65887,99357596,51944,78331552,1936,432,0,0,0,0
13,0,0,0,0,0.0480053,44.4608,0.095772,55.393,10.3011,0,12.6855,0.64858,0,31.7578,0,0,0,0,0,0,0,0,51907,78275756,0,0
14,0,22.6348,0,33.9161,1.87886,11.6742,38.7125,47.7373,0.102912,0,6.48436,0,0,41.15,214070,322817560,200696,302649568,187623,282935484,6723,455,0,0,0,0
15,0,0,0,0,0.0660787,18.3019,0.246652,81.383,35.7638,0,4.8438,0.101348,0,40.674,0,0,0,0,0,0,0,0,187623,282935484,0,0
16,0,4.44751,0,2.07742,0.873281,30.8634,9.08297,59.1779,0.033984,0,10.205,3.6e-05,0,48.9389,93264,140642112,46011,69384588,36866,55593928,1322,329,0,0,0,0
17,0,0,0,0,0.21827,33.2402,0.068964,66.4702,7.03758,0,10.9158,0.78282,0,47.7339,0,0,0,0,0,0,0,0,36894,55636152,0,0
18,0,26.7058,0,28.69,5.44487,4.55298,49.6558,40.3536,0.154572,0,14.7384,0.000492,0,25.4602,230958,348284664,257185,387834980,221368,333822944,7997,1196,0,0,0,0
19,0,0,0,0,0.816189,9.75621,0.340244,89.0946,42.812,0,20.8105,2.54697,0,22.9251,0,0,0,0,0,0,0,0,221363,333815404,0,0
20,0,5.40829,0,0.28471,1.46402,5.11603,12.3124,81.109,0.05492,0,16.9004,0.001344,0,64.1524,96168,145021344,62716,94575728,44830,67603640,1577,671,0,0,0,0
21,0,0,0,0,0.581204,6.70861,0.105044,92.6066,8.98616,0,78.0284,0.808488,0,4.78358,0,0,0,0,0,0,0,0,45327,68353116,0,0
22,0,2.32401,0,0.608026,0.618384,61.4706,6.26328,31.6377,0.030432,0,17.7781,3.6e-05,0,13.8291,71800,108274400,31450,47426600,19264,29050112,765,371,0,0,0,0
23,0,0,0,0,0.164904,64.1836,0.056456,35.5851,4.07644,0,13.2574,1.10303,0,17.1482,0,0,0,0,0,0,0,0,19242,29016936,0,0
24,0,37.6508,0,56.141,1.99932,11.801,61.627,24.5793,0.148544,0,2.4878,0,0,21.9429,330944,499063552,320494,483304952,312092,470634736,11148,303,0,0,0,0
25,0,0,0,0,0.0583305,16.6187,0.377728,82.9465,59.3532,0,2.9504,0,0,20.6429,0,0,0,0,0,0,0,0,312092,470634736,0,0
26,0,6.47065,0,1.31075,0.846326,17.054,12.2656,69.8386,0.040088,0,8.86775,0.000168,0,60.9306,101074,152419592,62681,94522948,53636,80883088,1921,334,0,0,0,0
27,0,0,0,0,0.0819578,55.1443,0.086176,44.6641,10.2534,0,7.65524,0.623676,0,26.1318,0,0,0,0,0,0,0,0,53715,81002220,0,0
28,0,5.18704,0,0.72384,1.19733,36.5225,12.8875,49.3879,0.051384,0,5.34677,3.6e-05,0,43.9898,104242,157196936,65737,99131396,42996,64837968,1833,528,0,0,0,0
29,0,0,0,0,0.105327,30.7129,0.100664,69.0811,9.75729,0,11.9628,1.43235,0,45.9286,0,0,0,0,0,0,0,0,42987,64824396,0,0
30,0,12.8132,0,16.7822,1.4514,17.2089,23.4961,57.8442,0.0723,0,2.53786,1.2e-05,0,55.234,145963,220112204,121194,182760552,106210,160164680,3809,534,0,0,0,0
31,0,0,0,0,0.0597385,24.1592,0.15968,75.6166,20.2296,0,5.56051,0.899756,0,48.9268,0,0,0,0,0,0,0,0,106210,160164680,0,0
32,0,5.03805,0,0.136323,0.891921,34.2898,11.8862,52.9273,0.054008,0,7.7059,0.001692,0,45.1657,98462,148480696,60481,91205348,41761,62975588,1529,637,0,0,0,0
33,0,0,0,0,0.221828,37.0005,0.108404,62.6645,8.92504,0,6.6593,1.7784,0,45.3018,0,0,0,0,0,0,0,0,41999,63334492,0,0
34,0,14.1039,0,16.6628,1.4363,15.9614,25.7351,56.8648,0.078944,0,23.0741,0.000144,0,33.7117,151347,228231276,132896,200407168,116909,176298772,4190,571,0,0,0,0
35,0,0,0,0,0.105218,18.7973,0.17512,80.9199,22.3453,0,24.3497,0.836444,0,33.3885,0,0,0,0,0,0,0,0,116965,176383220,0,0
36,0,3.91634,0,2.69751,0.908925,20.845,8.66583,69.5777,0.036204,0,16.6308,0.000384,0,52.9103,94586,142635688,43732,65947856,32463,48954204,1154,412,0,0,0,0
37,0,0,0,0,0.267646,32.8886,0.072168,66.769,6.342,0,15.5892,0.54324,0,44.2946,0,0,0,0,0,0,0,0,32574,49121592,0,0
38,0,18.4468,0,21.9571,3.8212,22.1458,33.6293,40.4162,0.097752,0,11.7791,4.8e-05,0,28.5392,169728,255949824,173895,262233660,152908,230585264,5634,582,0,0,0,0
39,0,0,0,0,0.663635,8.98302,0.22312,90.1375,30.01,0,15.8262,0.43676,0,43.8645,0,0,0,0,0,0,0,0,152890,230558120,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,277.906,6.36846,356.591,1.14065,2.68665,8.01129,20.5465,68.7587,0.107684,0,14.0623,0.001416,0,54.5873,108957,164307156,105256,158726048,52789,79605812,2614,1207,0,0,0,0
1,0,0,0,0,0.454774,11.6694,0.195744,87.6832,14.3544,0,25.4281,3.71465,0,44.186,0,0,0,0,0,0,0,0,53024,79960192,0,0
2,0,2.05353,0,0.560976,0.615321,49.8406,5.55576,43.9859,0.026516,0,6.52344,0,0,37.436,84318,127151544,27578,41587624,17022,25669176,675,318,0,0,0,0
3,0,0,0,0,0.193734,33.2988,0.047728,66.4595,3.58528,0,8.62396,0.82028,0,53.43,0,0,0,0,0,0,0,0,17050,25711400,0,0
4,0,15.6866,0,7.14309,1.70592,11.3065,28.7014,58.2875,0.088108,0,19.0779,0,0,39.1216,157115,236929420,148332,223684656,130028,196082224,4651,651,0,0,0,0
5,0,0,0,0,0.0633493,29.5948,0.196012,70.1453,24.7808,0,25.0387,1.30457,0,19.0212,0,0,0,0,0,0,0,0,130056,196124448,0,0
6,0,20.8833,0,44.9547,3.10972,9.88165,37.096,49.9193,0.107612,0,31.0425,0,0,18.7692,198255,298968540,192003,289540524,173104,261040832,6185,678,0,0,0,0
7,0,0,0,0,0.131605,16.2216,0.246076,83.4021,32.9498,0,32.4184,0.798792,0,17.2351,0,0,0,0,0,0,0,0,173104,261040832,0,0
8,0,2.20783,0,0.890323,0.605811,35.5055,5.95912,57.9313,0.024768,0,11.2083,0.000192,0,46.6981,84813,127898004,29714,44808712,18301,27597908,858,219,0,0,0,0
9,0,0,0,0,0.0772686,24.5289,0.048512,75.3472,4.61026,0,23.6836,0.335988,0,46.7174,0,0,0,0,0,0,0,0,18351,27673308,0,0
10,0,17.4787,0,24.9116,1.55576,11.7047,30.9999,55.7468,0.089336,0,6.68979,0,0,48.9677,173503,261642524,160412,241901296,144883,218483564,5190,556,0,0,0,0
11,0,0,0,0,0.104959,15.3889,0.204564,84.3034,27.5825,0,10.8028,0.548564,0,45.3695,0,0,0,0,0,0,0,0,144907,218519756,0,0
12,0,4.67516,0,2.53404,0.559078,24.1451,8.95896,66.3383,0.02958,0,23.2174,0.000168,0,43.0911,100005,150807540,45415,68485820,38753,58439524,1384,253,0,0,0,0
13,0,0,0,0,0.0865163,30.083,0.063568,69.7514,7.40712,0,8.64548,0.607896,0,53.0909,0,0,0,0,0,0,0,0,38837,58566196,0,0
14,0,22.2631,0,7.28726,2.1302,14.433,38.7426,44.6948,0.10722,0,2.32996,4.8e-05,0,42.2576,208708,314731664,200773,302765684,184542,278289336,6617,561,0,0,0,0
15,0,0,0,0,0.0771265,35.5588,0.251384,64.0801,35.2542,0,6.10538,0.181016,0,22.5395,0,0,0,0,0,0,0,0,184542,278289336,0,0
16,0,19.209,0,44.7333,1.60652,17.5622,33.7772,47.06,0.096772,0,8.12246,0.00036,0,38.8404,191698,289080584,174900,263749200,159226,240112808,5698,554,0,0,0,0
