Simulation time: 100.0 s
Waiting for simulation script to connect on port: tcp://localhost:50000
Please start proper ns-3 simulation script using ./waf --run "..."
Start
Progress: 0% 10% 20% 30% 40% 50% 60% 70% 80% 90% 100%
Done
Final step: 199
Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   0  -64.0        23    0.665791743999999963    0.141421356237309503         24.50                49
   0  -63.0        23    0.553566967741935589    0.179605302026774910         15.00                30
   0  -81.0        23    0.127275200000000005    0.353553390593273786          3.50                 7
   0  -80.0        23    0.097625600000000007    0.353553390593273786          3.50                 7
   0  -78.0        23    0.281026953846153893    0.277350098112614574          6.00                12
   0  -74.0        23    0.247133538461538488    0.277350098112614574          6.00                12
   0  -69.0        23    0.557854207999999963    0.200000000000000011         12.00                24
   0  -62.0        23    0.675416959999999955    0.129099444873580549         29.50                59
                                                                             100.00               200    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   1  -64.0        23    0.100545706666666679    0.182574185835055358         14.50                29
   1  -81.0        23    0.021295157894736846    0.229415733870561772          9.00                18
   1  -77.0        23    0.019431513043478260    0.208514414057074771         11.00                22
   1  -72.0        23    0.015855542857142857    0.218217890235992362         10.00                20
   1  -71.0        23    0.013840457142857140    0.218217890235992362         10.00                20
   1  -69.0        23    0.073089280000000006    0.223606797749978964          9.50                19
   1  -66.0        23    0.088796342857142871    0.188982236504613599         13.50                27
   1  -65.0        23    0.054046720000000013    0.223606797749978964          9.50                19
   1  -62.0        23    0.087630696296296315    0.192450089729875262         13.00                26
                                                                             100.00               200    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   2  -82.0        23    0.003248000000000001    0.250000000000000000          7.50                15
   2  -81.0        23    0.005220000000000001    0.250000000000000000          7.50                15
   2  -80.0        23    0.009651199999999999    0.267261241912424397          6.50                13
   2  -79.0        23    0.003118080000000000    0.223606797749978964          9.50                19
   2  -76.0        23    0.003248000000000000    0.250000000000000000          7.50                15
   2  -75.0        23    0.029255200000000002    0.250000000000000000          7.50                15
   2  -70.0        23    0.064828988235294122    0.242535625036332969          8.00                16
   2  -69.0        23    0.144416336842105225    0.229415733870561772          9.00                18
   2  -62.0        23    0.355075072000000047    0.115470053837925163         37.00                74
                                                                             100.00               200    Tot

