Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,275.871,36.9157,293.998,43.5402,3.55708,3.79242,62.2395,30.4175,0.1596,0,18.0104,0.000156,0,12.2473,312866,471801928,323449,487761092,305999,461446492,10980,573,0,0,0,0
1,0,0,0,0,0.496884,7.26948,0.391384,91.8433,58.5462,0,13.352,1.21406,0,18.7311,0,0,0,0,0,0,0,0,305999,461446492,0,0
2,0,3.86313,0,2.2059,0.618264,12.7229,7.75746,78.9025,0.027756,0,5.19576,2.4e-05,0,73.6789,82893,125002644,39246,59182968,32022,48289176,1152,267,0,0,0,0
3,0,0,0,0,0.144699,22.5931,0.058512,77.2048,6.11977,0,3.88179,0.736248,0,66.467,0,0,0,0,0,0,0,0,32050,48331400,0,0
4,0,10.1821,0,9.64637,0.781506,16.6571,17.3183,65.2448,0.044876,0,1.04881,0,0,64.1511,119354,179985832,89279,134632732,84401,127276708,3028,174,0,0,0,0
5,0,0,0,0,0.0382883,16.1426,0.109016,83.7118,16.0559,0,4.31465,0,0,63.3413,0,0,0,0,0,0,0,0,84401,127276708,0,0
6,0,26.2828,0,35.7951,2.06097,19.5588,44.6394,33.7434,0.117708,0,7.454,3.6e-05,0,26.1717,240375,362485500,231652,349331216,217861,328534388,7782,494,0,0,0,0
7,0,0,0,0,0.0392062,22.4828,0.283716,77.1916,41.4565,0,9.94487,0.314116,0,25.4761,0,0,0,0,0,0,0,0,217861,328534388,0,0
8,0,8.52647,0,4.77674,0.984985,30.1122,15.4777,53.422,0.046176,0,3.50519,0,0,49.8706,110679,166903932,79505,119893540,70677,106580916,2535,317,0,0,0,0
9,0,0,0,0,0.030636,41.1981,0.103456,58.6593,13.462,0,4.81311,0.490384,0,39.8938,0,0,0,0,0,0,0,0,70677,106580916,0,0
10,0,19.2655,0,26.7767,1.97151,14.2074,33.9864,49.8367,0.096688,0,3.81089,0.000144,0,45.929,189648,285989184,175995,265400460,159694,240818552,5731,562,0,0,0,0
11,0,0,0,0,0.0634612,26.5538,0.223432,73.156,30.5656,0,6.60681,0.534496,0,35.4491,0,0,0,0,0,0,0,0,159722,240860776,0,0
12,0,9.47253,0,8.17698,2.22758,22.6106,20.4444,54.714,0.075064,0,10.1049,6e-05,0,44.534,118715,179022220,105084,158466672,78519,118406652,3082,726,0,0,0,0
13,0,0,0,0,0.0261291,36.4681,0.153728,63.3486,16.275,0,8.29306,1.53429,0,37.2463,0,0,0,0,0,0,0,0,78523,118412684,0,0
14,0,17.2039,0,19.1287,1.80148,16.2184,29.7942,52.1825,0.08118,0,7.30696,0,0,44.7944,171475,258584300,154154,232464232,142605,215048340,5111,402,0,0,0,0
15,0,0,0,0,0.0606773,19.8165,0.19178,79.9277,27.2004,0,4.49758,0.133292,0,48.0963,0,0,0,0,0,0,0,0,142633,215090564,0,0
16,0,5.67129,0,5.19898,1.31965,32.9594,11.5036,54.2193,0.042216,0,11.4473,1.2e-05,0,42.7297,95802,144469416,58581,88340148,47010,70891080,1689,414,0,0,0,0
17,0,0,0,0,0.209319,29.1346,0.086072,70.5666,8.9651,0,11.3293,0.857548,0,49.4146,0,0,0,0,0,0,0,0,47010,70891080,0,0
18,0,19.0431,0,18.0833,8.11698,7.95419,43.6639,40.2713,0.170372,0,12.9634,0.000576,0,27.137,189786,286197288,225133,339500564,157851,238039308,6170,1892,0,0,0,0
19,0,0,0,0,0.744404,11.5445,0.335584,87.3819,33.0817,0,21.5991,6.89326,0,25.8078,0,0,0,0,0,0,0,0,157920,238143360,0,0
20,0,8.22089,0,5.13564,2.24921,5.13958,18.656,73.9563,0.080936,0,18.8589,0.001944,0,55.0145,116402,175534216,95651,144241708,68144,102761152,2441,987,0,0,0,0
21,0,0,0,0,0.579671,7.33034,0.15646,91.9346,13.8711,0,69.8924,1.69779,0,6.47332,0,0,0,0,0,0,0,0,68463,103242204,0,0
22,0,2.31617,0,1.40123,0.975219,47.0239,8.18575,43.7442,0.045748,0,22.9423,9.6e-05,0,20.756,75727,114196316,41289,62263812,19199,28952092,853,641,0,0,0,0
23,0,0,0,0,0.121562,51.9917,0.080992,47.7348,4.58032,0,11.0845,2.24541,0,29.8246,0,0,0,0,0,0,0,0,19222,28986776,0,0
24,0,30.3786,0,39.9614,1.95372,18.7184,50.2235,29.1131,0.123664,0,1.50441,0,0,27.485,271000,408668000,260912,393455296,251812,379732496,9000,325,0,0,0,0
25,0,0,0,0,0.04289,24.1858,0.310236,75.4644,47.892,0,1.85351,0,0,25.7189,0,0,0,0,0,0,0,0,251812,379732496,0,0
26,0,6.38644,0,2.74758,0.781788,26.4356,12.052,60.7323,0.038756,0,5.69885,0.00018,0,54.9945,95704,144321632,61641,92954628,52938,79830504,1900,313,0,0,0,0
27,0,0,0,0,0.0418802,48.5454,0.083928,51.2567,10.1719,0,4.09716,0.639456,0,36.3482,0,0,0,0,0,0,0,0,52966,79872728,0,0
28,0,11.112,0,13.052,3.031,23.2161,25.023,48.7298,0.090004,0,3.40475,9.6e-05,0,45.2349,134531,202872748,128872,194338976,92109,138900372,3982,789,0,0,0,0
29,0,0,0,0,0.0475331,32.138,0.187596,67.6241,20.7559,0,13.3859,1.66923,0,31.8131,0,0,0,0,0,0,0,0,92101,138888308,0,0
30,0,15.4077,0,12.3897,1.7201,16.0963,27.6185,54.5649,0.081584,0,1.71728,1.2e-05,0,52.7661,159450,240450600,142752,215270016,127716,192595728,4564,545,0,0,0,0
31,0,0,0,0,0.0335924,31.7502,0.18424,68.0291,24.3183,0,5.32368,0.836252,0,37.5509,0,0,0,0,0,0,0,0,127716,192595728,0,0
32,0,2.89934,0,2.00383,1.11851,36.1681,11.9126,50.7974,0.0763,0,4.69732,0.00234,0,46.0214,82919,125041852,60476,91197808,24033,36241764,967,1245,0,0,0,0
33,0,0,0,0,0.106882,37.5676,0.13252,62.1896,6.13058,0,4.28365,4.63238,0,47.143,0,0,0,0,0,0,0,0,24457,36881156,0,0
34,0,15.2883,0,15.1982,1.88683,18.4988,27.6695,51.9414,0.08424,0,11.7141,0.000288,0,40.1427,159901,241130708,142969,215597252,126727,191104316,4526,586,0,0,0,0
35,0,0,0,0,0.0949764,19.8049,0.18814,79.9085,24.2256,0,18.9956,0.814572,0,35.8728,0,0,0,0,0,0,0,0,126755,191146540,0,0
36,0,7.89034,0,8.69332,2.00848,17.3207,16.9169,63.7505,0.065476,0,18.115,0.001068,0,45.5689,111869,168698452,86650,130668200,65404,98629232,2410,698,0,0,0,0
37,0,0,0,0,0.271496,23.4144,0.134364,76.1763,13.3218,0,16.4267,0.827124,0,45.6007,0,0,0,0,0,0,0,0,65572,98882576,0,0
38,0,19.5442,0,20.086,5.89178,22.5209,35.6679,35.9258,0.104288,0,13.0398,0.000132,0,22.7816,186312,280958496,184203,277778124,162004,244302032,5983,628,0,0,0,0
39,0,0,0,0,0.730568,11.7045,0.23804,87.3333,31.7886,0,16.6181,0.447408,0,38.4792,0,0,0,0,0,0,0,0,162032,244344256,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,270.136,8.4004,281.103,6.8228,3.61185,9.90643,30.3208,56.1601,0.1615,0,15.9149,0.003672,0,40.0801,125978,189974824,155855,235029340,69632,105005056,3720,2014,0,0,0,0
1,0,0,0,0,0.494185,14.1838,0.294832,85.0264,20.8551,0,27.8118,6.63812,0,29.7214,0,0,0,0,0,0,0,0,69903,105413724,0,0
2,0,4.41603,0,4.15967,1.29869,31.8771,12.7541,54.0693,0.06346,0,6.6923,0.000108,0,47.3135,91402,137834216,64939,97928012,36605,55200340,1606,801,0,0,0,0
3,0,0,0,0,0.140156,37.03,0.11432,62.7144,8.51568,0,12.1682,2.38418,0,39.6464,0,0,0,0,0,0,0,0,36632,55241056,0,0
4,0,11.7531,0,13.7011,1.38453,14.1005,21.9426,62.5752,0.06996,0,20.6343,1.2e-05,0,41.8709,134997,203575476,113114,170575912,97423,146913884,3487,559,0,0,0,0
5,0,0,0,0,0.0413922,23.1229,0.152436,76.686,18.5816,0,23.7828,1.18783,0,33.1338,0,0,0,0,0,0,0,0,97451,146956108,0,0
