Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,286.704,41.2226,316.553,50.6308,3.66765,3.75812,68.454,24.1289,0.170532,0,12.3276,0.000336,0,11.6305,347745,524399460,355965,536795220,341699,515282092,12223,490,0,0,0,0
1,0,0,0,0,0.392394,7.22346,0.425928,91.9616,65.2476,0,8.72796,0.873328,0,17.1128,0,0,0,0,0,0,0,0,341699,515282092,0,0
2,0,2.4771,0,1.29869,0.39827,13.2904,4.94726,81.3675,0.01728,0,3.69565,6e-05,0,77.6546,65438,98680504,24768,37350144,20533,30963764,739,161,0,0,0,0
3,0,0,0,0,0.105814,20.7779,0.036556,79.0832,3.92164,0,3.05449,0.410908,0,71.6962,0,0,0,0,0,0,0,0,20533,30963764,0,0
4,0,10.1621,0,6.35049,0.881527,11.8321,17.4806,69.8091,0.046692,0,1.10625,0,0,68.6561,122221,184309268,90062,135813496,84235,127026380,3018,208,0,0,0,0
5,0,0,0,0,0.0373603,12.6717,0.111432,87.1828,16.0252,0,2.75942,0,0,68.3982,0,0,0,0,0,0,0,0,84235,127026380,0,0
6,0,34.3729,0,46.5435,2.53164,13.1368,57.4428,26.893,0.146208,0,3.99255,0.000108,0,22.7542,299723,451982284,298511,450154588,284921,429660868,10169,494,0,0,0,0
7,0,0,0,0,0.0270027,14.6228,0.36002,84.9891,54.2011,0,7.80414,0.308792,0,22.6751,0,0,0,0,0,0,0,0,284921,429660868,0,0
8,0,8.08843,0,3.51062,0.762148,37.0756,14.6164,47.5353,0.0439,0,2.17177,2.4e-05,0,45.3196,111129,167582532,74979,113068332,67046,101105368,2406,285,0,0,0,0
9,0,0,0,0,0.0197557,46.048,0.098364,53.8288,12.7716,0,3.1412,0.393976,0,37.522,0,0,0,0,0,0,0,0,67046,101105368,0,0
10,0,19.8081,0,28.4934,1.98523,14.7413,35.5229,47.751,0.105076,0,2.47365,0.000228,0,45.172,188327,283997116,183946,277390568,164192,247601536,5874,704,0,0,0,0
11,0,0,0,0,0.0413977,33.4639,0.237648,66.2522,31.3853,0,5.22121,0.783012,0,28.8627,0,0,0,0,0,0,0,0,164192,247601536,0,0
12,0,10.0708,0,7.41453,2.68331,23.2228,25.2974,48.7916,0.10652,0,7.2311,0.000216,0,41.4538,128730,194124840,130174,196302392,83478,125884824,3507,1212,0,0,0,0
13,0,0,0,0,0.0211397,37.6491,0.204868,62.12,18.569,0,6.30912,3.45929,0,33.7826,0,0,0,0,0,0,0,0,83534,125969272,0,0
14,0,19.7111,0,22.8975,1.90579,15.1728,34.6227,48.3032,0.097652,0,5.2219,0,0,42.9836,186603,281397324,179290,270369320,163388,246389104,5855,554,0,0,0,0
15,0,0,0,0,0.0565139,20.521,0.226204,79.1954,31.1772,0,4.48601,0.117512,0,43.4147,0,0,0,0,0,0,0,0,163388,246389104,0,0
16,0,5.23312,0,7.05201,1.20801,30.4789,10.8977,57.4145,0.042092,0,13.4811,4.8e-05,0,43.8912,96284,145196272,55404,83549232,43378,65414024,1553,435,0,0,0,0
17,0,0,0,0,0.220625,25.8527,0.0836,73.8421,8.28224,0,13.1535,0.79024,0,51.6161,0,0,0,0,0,0,0,0,43406,65456248,0,0
18,0,18.6499,0,20.3634,7.76174,14.4962,38.5287,39.2225,0.140676,0,10.7604,0.000564,0,28.3208,182746,275580968,198476,299301808,154591,233123228,5784,1349,0,0,0,0
19,0,0,0,0,0.734684,14.4676,0.287592,84.5193,30.9595,0,21.8242,3.54885,0,28.1867,0,0,0,0,0,0,0,0,154669,233240852,0,0
20,0,6.40864,0,2.91104,2.19617,5.47709,15.5186,76.8115,0.075492,0,13.52,0.004176,0,63.2118,105283,158766764,79218,119460744,53122,80107976,1812,1034,0,0,0,0
21,0,0,0,0,0.417785,7.26624,0.145268,92.1741,11.5008,0,73.4015,1.51411,0,5.75775,0,0,0,0,0,0,0,0,54129,81626532,0,0
22,0,1.43151,0,0.358904,0.768644,57.9703,6.54695,34.7062,0.040552,0,17.6612,4.8e-05,0,17.0044,68642,103512136,32841,49524228,11866,17893928,560,621,0,0,0,0
23,0,0,0,0,0.106882,62.397,0.068768,37.4195,3.00906,0,7.40158,2.5635,0,24.4453,0,0,0,0,0,0,0,0,11856,17878848,0,0
