Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,310.795,52.0107,330.109,56.6447,3.27488,1.52771,84.8401,10.3614,0.2028,0,6.39814,0.000276,0,3.76021,432499,652208492,441651,666009708,431123,650133484,15400,375,0,0,0,0
1,0,0,0,0,0.206784,5.17753,0.519036,94.1007,82.1254,0,4.61406,0.468704,0,6.89254,0,0,0,0,0,0,0,0,431123,650133484,0,0
2,0,1.09469,0,0.540467,0.182007,7.90912,2.19883,89.7141,0.007256,0,2.61992,4.8e-05,0,87.0869,50576,76268608,10614,16005912,9074,13683592,337,60,0,0,0,0
3,0,0,0,0,0.0747255,12.1178,0.015688,87.7897,1.74315,0,2.1367,0.133676,0,83.7762,0,0,0,0,0,0,0,0,9130,13768040,0,0
4,0,3.68869,0,1.86087,0.387544,8.794,6.6161,84.2101,0.018576,0,0.899368,0,0,83.2922,77044,116182352,33461,50459188,30576,46108608,1115,102,0,0,0,0
5,0,0,0,0,0.0306416,9.27039,0.043076,90.6583,5.81801,0,2.83414,0,0,82.0062,0,0,0,0,0,0,0,0,30576,46108608,0,0
6,0,45.8305,0,56.3908,2.63091,6.75793,74.9897,15.6194,0.180896,0,3.05005,8.4e-05,0,12.3884,389491,587352428,390237,588477396,379895,572881660,13563,375,0,0,0,0
7,0,0,0,0,0.0323382,11.1491,0.45994,88.3567,72.2552,0,5.31484,0.218284,0,10.5684,0,0,0,0,0,0,0,0,379895,572881660,0,0
8,0,3.18019,0,0.998899,0.4167,35.8247,6.24128,57.5155,0.020792,0,2.22756,0,0,55.2672,77497,116865476,31402,47354216,26361,39752388,952,183,0,0,0,0
9,0,0,0,0,0.0275525,55.1594,0.043752,44.7658,5.02418,0,3.33028,0.282172,0,36.1292,0,0,0,0,0,0,0,0,26361,39752388,0,0
10,0,18.5354,0,23.6286,1.94988,11.3414,33.5867,53.1241,0.100588,0,2.7873,0.000132,0,50.236,179462,270628696,173838,262147704,153642,231692136,5514,707,0,0,0,0
11,0,0,0,0,0.0587767,39.2238,0.225644,60.4884,29.3925,0,4.0836,1.21406,0,25.7983,0,0,0,0,0,0,0,0,153642,231692136,0,0
12,0,6.14842,0,6.16531,1.77328,28.5832,16.377,53.2631,0.07512,0,6.02664,7.2e-05,0,47.1613,112479,169618332,83730,126264840,50965,76855220,2082,925,0,0,0,0
13,0,0,0,0,0.0252719,40.6832,0.138756,59.138,11.1148,0,4.14619,3.18242,0,40.6946,0,0,0,0,0,0,0,0,50977,76873316,0,0
14,0,23.6708,0,24.5665,2.13732,10.0743,40.8782,46.9073,0.111072,0,5.10263,0,0,41.6936,212937,321108996,211973,319655284,196210,295884680,7030,548,0,0,0,0
15,0,0,0,0,0.0315781,15.6724,0.26298,84.0302,37.4224,0,4.64928,0.0907,0,41.8678,0,0,0,0,0,0,0,0,196210,295884680,0,0
16,0,2.96135,0,2.62995,0.849159,36.5399,6.41607,56.1973,0.025804,0,10.314,3.6e-05,0,45.8575,88092,132842736,32078,48373624,24547,37016876,886,276,0,0,0,0
17,0,0,0,0,0.20717,34.7838,0.05108,64.9551,4.68724,0,9.52153,0.51168,0,50.2346,0,0,0,0,0,0,0,0,24547,37016876,0,0
18,0,31.6451,0,32.3032,6.63643,9.34349,58.6847,25.3423,0.17852,0,7.14612,0.000408,0,18.0173,269332,406152656,304254,458815032,262310,395563480,9597,1282,0,0,0,0
19,0,0,0,0,0.535327,10.9883,0.398016,88.0853,51.2627,0,14.9021,2.62778,0,19.2927,0,0,0,0,0,0,0,0,262341,395610228,0,0
20,0,2.93228,0,0.768477,0.804525,4.7434,7.26403,87.1975,0.033928,0,7.49956,0.000984,0,79.6631,79899,120487692,36637,55248596,24306,36653448,864,449,0,0,0,0
21,0,0,0,0,0.27991,5.42527,0.063652,94.2353,5.0348,0,85.8344,0.750876,0,2.61514,0,0,0,0,0,0,0,0,24729,37291332,0,0
22,0,0.809494,0,0.364936,0.296933,78.8948,2.6715,18.1463,0.0144,0,8.37893,2.4e-05,0,9.75291,54103,81587324,12944,19519552,6710,10118680,280,186,0,0,0,0
