Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,295.587,38.1467,296.932,36.7518,6.61131,3.6033,64.7395,25.0463,0.175992,0,15.2203,0.002304,0,9.64768,319351,481581308,336046,506757368,316203,476834124,11122,882,0,0,0,0
1,0,0,0,0,0.138573,9.22633,0.422296,90.2132,60.2644,0,8.80459,0.644396,0,20.4998,0,0,0,0,0,0,0,0,316203,476834124,0,0
2,0,4.68578,0,4.97399,0.740813,12.2343,9.33351,77.6917,0.035528,0,1.33038,0.000276,0,76.3255,99837,150554196,47311,71344988,38841,58572228,1386,313,0,0,0,0
3,0,0,0,0,0.0548736,20.1373,0.07346,79.7347,7.48536,0,1.03894,0.601236,0,70.6092,0,0,0,0,0,0,0,0,39007,58822556,0,0
4,0,7.81627,0,9.5752,0.686936,17.0147,13.5324,68.7724,0.0367,0,0.470924,0,0,68.2648,110053,165959924,69332,104552656,64790,97703320,2315,163,0,0,0,0
5,0,0,0,0,0.0202215,13.1351,0.086784,86.7591,12.3272,0,3.51904,0,0,70.9128,0,0,0,0,0,0,0,0,64790,97703320,0,0
6,0,45.4646,0,43.5498,2.91655,5.91555,76.5572,14.6074,0.198528,0,1.01116,0.00012,0,13.3976,377362,569061896,398265,600583620,376862,568307896,13452,773,0,0,0,0
7,0,0,0,0,0.00859288,10.2794,0.483516,89.2251,71.6983,0,5.23848,0.415272,0,11.8731,0,0,0,0,0,0,0,0,376862,568307896,0,0
8,0,3.79847,0,2.07561,0.435877,48.5299,7.34098,43.6903,0.024168,0,0.301268,0,0,43.3649,93947,141672076,36967,55746236,31486,47480888,1132,195,0,0,0,0
9,0,0,0,0,0.00774007,61.4337,0.051228,38.5042,6.00393,0,0.628588,0.23958,0,31.6321,0,0,0,0,0,0,0,0,31486,47480888,0,0
10,0,25.788,0,37.4985,2.01048,15.0503,45.5679,37.3734,0.131804,0,0.755896,0.000696,0,36.485,223551,337114908,236414,356512312,213760,322350080,7609,841,0,0,0,0
11,0,0,0,0,0.00933854,33.583,0.302784,66.1017,40.8297,0,2.47054,0.969352,0,21.8321,0,0,0,0,0,0,0,0,213741,322321428,0,0
12,0,6.01547,0,3.23617,1.99635,24.5257,25.1268,48.3467,0.153968,0,2.85122,0.000396,0,45.3411,109419,165003852,128857,194316356,49863,75193404,3088,1616,0,0,0,0
13,0,0,0,0,0.00575071,51.0248,0.26796,48.697,16.3707,0,1.164,4.67565,0,26.4867,0,0,0,0,0,0,0,0,49993,75389444,0,0
14,0,19.6334,0,22.6375,1.98428,11.935,35.6403,50.4413,0.106908,0,5.64468,0,0,44.6897,168898,254698184,184605,278384340,162744,245417952,5853,740,0,0,0,0
15,0,0,0,0,0.0221993,18.844,0.239248,80.89,31.1889,0,4.18084,0.442084,0,45.0782,0,0,0,0,0,0,0,0,162744,245417952,0,0
16,0,11.6547,0,8.30425,1.60016,30.809,23.0468,44.5396,0.084408,0,9.2297,0.000696,0,35.2248,125270,188907160,118760,179090080,96607,145683356,3406,837,0,0,0,0
17,0,0,0,0,0.138933,35.548,0.174252,64.1387,18.4886,0,7.49776,1.50688,0,36.6455,0,0,0,0,0,0,0,0,96943,146190044,0,0
18,0,15.6448,0,25.5992,5.01524,24.0141,32.1398,38.8462,0.116384,0,6.36674,0.000996,0,32.3621,169141,255064628,165435,249475980,129682,195560456,4923,1031,0,0,0,0
19,0,0,0,0,0.435465,25.4833,0.241876,73.8494,26.542,0,12.8572,2.20358,0,32.2466,0,0,0,0,0,0,0,0,129892,195877136,0,0
20,0,6.40779,0,7.45796,1.43354,6.59579,13.8763,78.0948,0.061136,0,22.3706,0.002292,0,55.6608,107477,162075316,70800,106766400,53115,80097420,1787,745,0,0,0,0
21,0,0,0,0,0.61179,8.24831,0.119596,91.0207,10.55,0,70.4202,0.846552,0,9.20389,0,0,0,0,0,0,0,0,54144,81649152,0,0
