Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,287.605,36.6255,303.716,44.9722,3.83834,4.31599,61.2964,30.5592,0.155064,0,13.6774,0.000312,0,16.7264,312074,470607592,318522,480331176,303593,457818244,10879,501,0,0,0,0
1,0,0,0,0,0.345154,7.9485,0.383764,91.3272,58.054,0,8.2274,1.00643,0,24.0393,0,0,0,0,0,0,0,0,303593,457818244,0,0
2,0,2.80572,0,1.57013,0.426145,15.548,5.45978,78.5707,0.018636,0,2.51601,6e-05,0,76.036,63408,95619264,27452,41397616,23257,35071556,840,156,0,0,0,0
3,0,0,0,0,0.107591,26.0855,0.040024,73.7715,4.45263,0,2.4806,0.383712,0,66.4545,0,0,0,0,0,0,0,0,23285,35113780,0,0
4,0,14.3667,0,11.1978,1.09469,11.4019,24.2468,63.2563,0.062784,0,0.741908,0,0,62.4516,143442,216310536,125507,189264556,119087,179583196,4263,229,0,0,0,0
5,0,0,0,0,0.0245163,12.145,0.152936,87.6772,22.6592,0,3.73287,0,0,61.2852,0,0,0,0,0,0,0,0,119115,179625420,0,0
6,0,29.7578,0,38.153,1.92658,14.2649,49.8399,33.9692,0.1275,0,4.90068,8.4e-05,0,28.9409,263166,396854328,258953,390501124,246666,371972328,8807,448,0,0,0,0
7,0,0,0,0,0.0120088,16.9766,0.313028,82.6937,46.922,0,10.3216,0.346444,0,25.1037,0,0,0,0,0,0,0,0,246666,371972328,0,0
8,0,5.63763,0,3.14026,0.487105,37.3953,10.1362,51.9708,0.029564,0,1.49578,0,0,50.4454,83008,125176064,51865,78212420,46731,70470348,1678,183,0,0,0,0
9,0,0,0,0,0.00964321,50.3112,0.067096,49.6125,8.91016,0,2.12781,0.2238,0,38.3507,0,0,0,0,0,0,0,0,46759,70512572,0,0
10,0,23.8381,0,32.767,1.87793,13.6461,41.1631,43.3186,0.11256,0,1.67693,0.00036,0,41.5287,217021,327267668,213568,322060544,197597,297976276,7061,570,0,0,0,0
11,0,0,0,0,0.0245103,31.4248,0.266372,68.2847,37.7595,0,2.79328,0.495324,0,27.2366,0,0,0,0,0,0,0,0,197653,298060724,0,0
12,0,9.18312,0,4.68324,2.62502,21.3701,24.2983,51.707,0.107712,0,7.37397,0.000156,0,44.2251,112299,169346892,125042,188563336,76120,114788960,3170,1350,0,0,0,0
13,0,0,0,0,0.0100384,38.1262,0.201436,61.657,16.8535,0,4.75638,4.2693,0,35.7778,0,0,0,0,0,0,0,0,76223,114944284,0,0
14,0,20.6126,0,23.1997,1.79985,15.7447,35.3377,47.1185,0.094848,0,3.20326,0,0,43.8204,192013,289555604,183108,276126864,170860,257656880,6118,428,0,0,0,0
15,0,0,0,0,0.0446862,19.4086,0.22628,80.3159,32.5682,0,2.8688,0.096024,0,44.7828,0,0,0,0,0,0,0,0,170860,257656880,0,0
16,0,4.48009,0,6.84994,1.62772,31.7416,9.33128,57.2949,0.035916,0,12.3242,8.4e-05,0,44.9347,83942,126584536,47226,71216808,37136,56001088,1327,368,0,0,0,0
17,0,0,0,0,0.158087,24.5357,0.072004,75.2297,7.08884,0,11.2045,0.559404,0,56.377,0,0,0,0,0,0,0,0,37164,56043312,0,0
18,0,19.3345,0,22.6857,7.77866,14.3482,41.0697,36.8132,0.14786,0,8.49134,0.000324,0,28.1736,187987,283484396,211759,319332572,160266,241681128,6218,1399,0,0,0,0
19,0,0,0,0,0.676349,13.9321,0.303736,85.0975,33.1387,0,19.2551,4.06507,0,28.6386,0,0,0,0,0,0,0,0,160288,241714304,0,0
20,0,7.71095,0,3.74105,2.0919,5.81172,18.7258,73.3752,0.090692,0,17.6556,0.0042,0,55.6247,109369,164928452,96021,144799668,63917,96386836,2262,1186,0,0,0,0
21,0,0,0,0,0.470592,7.75022,0.173676,91.6101,13.9047,0,69.4341,1.85808,0,6.41322,0,0,0,0,0,0,0,0,64599,97415292,0,0
22,0,1.88054,0,1.20761,1.05765,47.1792,10.1608,41.3947,0.068648,0,19.7648,0.000108,0,21.5612,69789,105241812,51550,77737400,15588,23506704,777,1098,0,0,0,0
23,0,0,0,0,0.0655868,53.5096,0.112628,46.1045,4.20055,0,6.61218,4.75685,0,30.5349,0,0,0,0,0,0,0,0,15627,23565516,0,0
24,0,31.0672,0,40.029,1.84576,20.8815,51.5506,25.7296,0.128528,0,0.79052,0,0,24.8105,270132,407359056,267909,404006772,257520,388340160,9200,372,0,0,0,0
25,0,0,0,0,0.0250192,23.7613,0.32012,75.8958,48.9792,0,1.07696,0,0,25.8396,0,0,0,0,0,0,0,0,257520,388340160,0,0
26,0,4.70544,0,2.4514,0.670036,32.0558,8.86972,58.4041,0.029104,0,2.95295,0.000564,0,55.4215,74063,111687004,45246,68230968,39004,58818032,1389,245,0,0,0,0
27,0,0,0,0,0.0197379,53.4456,0.063688,46.2592,7.57921,0,1.92659,0.330088,0,36.4233,0,0,0,0,0,0,0,0,39294,59255352,0,0
28,0,13.4082,0,10.8407,3.70758,23.8462,32.3519,40.0838,0.12488,0,1.42717,0.00032,0,38.5315,145927,220057916,167045,251903860,111142,167602136,5023,1096,0,0,0,0
29,0,0,0,0,0.0199042,33.7084,0.25332,66.0137,26.5055,0,8.6003,3.19454,0,27.7133,0,0,0,0,0,0,0,0,111156,167623248,0,0
30,0,18.1283,0,15.5903,1.48581,15.8804,31.9025,50.7317,0.090852,0,0.869456,0.000132,0,49.7713,178210,268740680,165221,249153268,150268,226604144,5378,539,0,0,0,0
31,0,0,0,0,0.0196893,39.428,0.209744,60.343,28.6346,0,2.27873,0.804116,0,28.6256,0,0,0,0,0,0,0,0,150268,226604144,0,0
32,0,1.79199,0,1.59486,1.28595,43.2988,13.344,42.066,0.107156,0,1.66749,0.006708,0,40.2847,65333,98522164,67871,102349468,14854,22399832,514,2012,0,0,0,0
33,0,0,0,0,0.0542149,41.7677,0.179104,57.9829,5.34433,0,2.10483,6.80762,0,43.7262,0,0,0,0,0,0,0,0,15114,22791912,0,0
34,0,14.2935,0,15.3146,1.50356,18.3262,25.7697,54.396,0.077404,0,10.5459,0.000156,0,43.7725,147997,223179476,133165,200812820,118481,178669348,4235,525,0,0,0,0
35,0,0,0,0,0.0643529,21.3453,0.173768,78.412,22.6299,0,16.4702,0.777112,0,38.5348,0,0,0,0,0,0,0,0,118509,178711572,0,0
36,0,6.57078,0,5.56633,1.24204,14.442,14.044,70.2717,0.056524,0,17.1746,0.000888,0,53.0397,95815,144489020,71870,108379960,54466,82134728,1968,616,0,0,0,0
37,0,0,0,0,0.277993,21.5693,0.1146,78.0379,10.8922,0,16.2975,0.878844,0,49.9694,0,0,0,0,0,0,0,0,54738,82544904,0,0
38,0,21.4061,0,18.1611,7.03302,24.3421,38.4529,30.1869,0.109724,0,12.0604,8.4e-05,0,18.0167,197245,297445460,198508,299350064,177438,267576504,6521,597,0,0,0,0
39,0,0,0,0,0.756925,11.8923,0.253584,87.1068,34.6595,0,15.0538,0.457864,0,36.9357,0,0,0,0,0,0,0,0,177455,267602140,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,276.166,6.11379,290.618,2.14076,4.38958,10.5562,32.5022,52.5515,0.19842,0,11.8633,0.002952,0,40.4868,108115,163037420,166896,251679168,50678,76422424,3657,2528,0,0,0,0
1,0,0,0,0,0.431065,15.1784,0.343832,84.0462,20.11,0,19.5179,9.46866,0,34.9497,0,0,0,0,0,0,0,0,50831,76653148,0,0
2,0,3.66951,0,4.08125,1.85471,35.4615,12.6153,50.0733,0.06644,0,7.56581,7.2e-05,0,42.441,71179,107337932,64166,96762328,30417,45868836,1441,891,0,0,0,0
3,0,0,0,0,0.125633,33.4626,0.116,66.2952,7.65273,0,11.231,2.82481,0,44.5867,0,0,0,0,0,0,0,0,30392,45831136,0,0
4,0,11.3963,0,5.88663,1.1988,15.8608,20.915,62.0244,0.064608,0,14.1562,3.6e-05,0,47.8036,125057,188585956,107884,162689072,94465,142453220,3389,472,0,0,0,0
