Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,289.456,43.7535,294.81,42.9901,4.38684,2.70899,73.4615,19.4489,0.188184,0,7.39758,0.000432,0,11.8627,363206,547714648,381969,576009252,362678,546918424,12962,681,0,0,0,0
1,0,0,0,0,0.172382,7.34813,0.462276,92.0181,69.2244,0,4.39078,0.846708,0,17.5563,0,0,0,0,0,0,0,0,362678,546918424,0,0
2,0,1.39991,0,1.46397,0.267034,17.1139,2.96608,79.6539,0.011704,0,1.36782,4.8e-05,0,78.2743,73815,111313020,14181,21384948,11604,17498832,423,99,0,0,0,0
3,0,0,0,0,0.0551575,20.728,0.024124,79.1936,2.22719,0,1.43564,0.197372,0,75.3334,0,0,0,0,0,0,0,0,11632,17541056,0,0
4,0,4.45391,0,3.64936,0.433771,11.7604,7.91167,79.8955,0.021976,0,0.540336,0,0,79.3332,97133,146476564,39981,60291348,36919,55673852,1325,110,0,0,0,0
5,0,0,0,0,0.0256541,11.5836,0.051016,88.341,7.02561,0,1.17486,0,0,80.1406,0,0,0,0,0,0,0,0,36919,55673852,0,0
6,0,48.2273,0,50.29,3.30078,4.9196,80.7064,11.0754,0.20606,0,1.83621,8.4e-05,0,9.03306,400290,603637320,419917,633234836,399762,602841096,14272,725,0,0,0,0
7,0,0,0,0,0.00626156,10.0243,0.506256,89.4601,76.0477,0,4.81975,0.255552,0,8.33708,0,0,0,0,0,0,0,0,399762,602841096,0,0
8,0,2.20337,0,1.38977,0.27014,46.4404,4.39727,48.8891,0.014688,0,0.423876,0,0,48.4505,83701,126221108,21630,32618040,18264,27542112,668,118,0,0,0,0
9,0,0,0,0,0.00632098,59.8539,0.03088,40.0962,3.50521,0,1.05754,0.159912,0,35.3735,0,0,0,0,0,0,0,0,18292,27584336,0,0
10,0,22.6546,0,20.2036,1.87866,12.4721,40.4641,45.1848,0.12006,0,0.992548,0.00108,0,44.0711,190086,286649688,209761,316319588,187787,283182796,6665,832,0,0,0,0
11,0,0,0,0,0.0194553,39.3927,0.2731,60.3086,36.0041,0,1.51115,0.94254,0,21.8508,0,0,0,0,0,0,0,0,187768,283154144,0,0
12,0,9.16116,0,9.7079,3.47117,21.7857,36.9389,37.8091,0.201044,0,5.04228,0.000552,0,32.5653,113116,170578928,190039,286578812,75938,114514504,4843,2112,0,0,0,0
13,0,0,0,0,0.00891062,36.4734,0.361124,63.1562,25.5366,0,1.82441,7.03728,0,28.7579,0,0,0,0,0,0,0,0,76083,114733164,0,0
14,0,13.5581,0,10.9463,1.45391,19.5861,24.7617,54.1976,0.076152,0,5.09863,0,0,49.0228,131841,198816228,127821,192754068,112385,169476580,4038,528,0,0,0,0
15,0,0,0,0,0.0404256,23.9713,0.168648,75.8189,21.5404,0,4.32219,0.239772,0,49.7166,0,0,0,0,0,0,0,0,112413,169518804,0,0
16,0,9.88669,0,12.8856,1.486,29.9915,19.8275,48.6997,0.074988,0,16.6115,0.000228,0,32.013,113005,170411540,101941,153727028,81952,123583616,2913,729,0,0,0,0
17,0,0,0,0,0.192769,29.6787,0.151584,69.9763,15.653,0,12.8367,1.09694,0,40.3896,0,0,0,0,0,0,0,0,82060,123746480,0,0
18,0,11.5063,0,11.0446,13.5342,21.4259,33.6119,31.4373,0.163108,0,10.151,0.000732,0,21.1224,128846,194299768,171043,257932844,95377,143828516,4101,2052,0,0,0,0
19,0,0,0,0,0.704417,23.0778,0.294812,75.9322,22.0996,0,17.7899,5.11221,0,30.9306,0,0,0,0,0,0,0,0,95508,144026064,0,0
20,0,2.11723,0,1.85303,2.11154,6.17804,13.9408,77.7706,0.11772,0,8.02127,0.006516,0,69.6251,101133,152508564,70494,106304952,17550,26465400,538,1984,0,0,0,0
21,0,0,0,0,0.35377,7.46106,0.192344,91.9937,5.84916,0,74.6953,5.69136,0,5.75791,0,0,0,0,0,0,0,0,19169,28906852,0,0
22,0,1.18119,0,1.23897,0.571671,68.9253,5.20724,25.2963,0.033284,0,9.98248,0.000228,0,15.2803,82196,123951568,25655,38687740,9791,14764828,486,439,0,0,0,0
23,0,0,0,0,0.0515713,78.6135,0.056752,21.2786,2.68312,0,3.42795,1.57268,0,13.5949,0,0,0,0,0,0,0,0,9880,14899040,0,0
24,0,48.2772,0,49.6554,2.55512,6.88184,80.0488,10.5208,0.199896,0,0.751244,0,0,9.56967,400916,604581328,416640,628293120,400176,603465408,14290,589,0,0,0,0
25,0,0,0,0,0.0207677,12.2041,0.4976,87.2787,76.1119,0,0.974992,0,0,10.1918,0,0,0,0,0,0,0,0,400176,603465408,0,0
26,0,1.58919,0,1.5074,0.274578,21.6518,3.37547,74.6995,0.012784,0,1.03695,0.000344,0,73.6494,78334,118127672,16311,24596988,13173,19864884,473,124,0,0,0,0
27,0,0,0,0,0.0147673,78.7881,0.026316,21.1664,2.62182,0,0.778024,0.202888,0,17.5637,0,0,0,0,0,0,0,0,13514,20379112,0,0
28,0,2.73949,0,2.55033,2.92236,28.9484,19.7126,48.4151,0.127524,0,1.04628,0.000396,0,47.2409,103313,155796004,100182,151074456,22708,34243664,2259,1336,0,0,0,0
29,0,0,0,0,0.0107977,48.2421,0.216328,51.5121,12.2854,0,3.69662,3.74392,0,31.7862,0,0,0,0,0,0,0,0,22884,34509072,0,0
30,0,25.378,0,30.0526,2.47518,15.1356,45.8542,36.5388,0.139524,0,0.705928,0.000792,0,35.6926,211893,319534644,237793,358591844,210361,317224388,7459,1034,0,0,0,0
31,0,0,0,0,0.0106641,30.8758,0.311724,68.8003,40.0932,0,1.3464,0.963644,0,26.397,0,0,0,0,0,0,0,0,210361,317224388,0,0
32,0,0.415846,0,0.153213,1.11579,57.5963,9.9993,31.2644,0.091572,0,0.681352,0.00426,0,30.4872,96749,145897492,50155,75633740,3447,5198076,139,1658,0,0,0,0
33,0,0,0,0,0.0474134,46.8861,0.145536,52.8968,2.3748,0,1.31502,6.5491,0,42.6579,0,0,0,0,0,0,0,0,3801,5731908,0,0
34,0,17.4643,0,19.5726,2.12131,21.5053,33.4997,42.8731,0.112668,0,7.94426,0.000132,0,34.816,151916,229089328,173257,261271556,144764,218304112,5169,1020,0,0,0,0
35,0,0,0,0,0.0544284,21.1008,0.237728,78.6064,27.6363,0,15.6033,1.65576,0,33.711,0,0,0,0,0,0,0,0,144820,218388560,0,0
36,0,7.6002,0,6.17134,1.4436,20.0823,17.4311,61.0423,0.083156,0,19.687,0.002172,0,41.27,109272,164782176,89244,134579952,62999,95002492,2214,977,0,0,0,0
37,0,0,0,0,0.293814,22.3148,0.166408,77.2243,12.8443,0,14.0983,1.64132,0,48.6404,0,0,0,0,0,0,0,0,64035,96564780,0,0
38,0,15.888,0,17.4838,17.8583,20.0743,35.7028,26.3745,0.142176,0,13.5764,0.001032,0,12.6549,151583,228587164,182161,274698788,131698,198600584,4896,1617,0,0,0,0
39,0,0,0,0,0.937403,17.6279,0.277672,81.1663,26.5622,0,13.7925,0.228932,0,40.5826,0,0,0,0,0,0,0,0,131954,198986632,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,319.683,1.89224,325.701,1.30955,3.72217,13.7736,20.5968,61.9106,0.143976,0,4.34577,0.003912,0,57.4169,99578,150163624,104940,158249520,15685,23652980,2250,1557,0,0,0,0
1,0,0,0,0,0.173823,18.3092,0.248348,81.2717,13.6121,0,6.79114,4.19515,0,56.6733,0,0,0,0,0,0,0,0,15958,24064664,0,0
2,0,0.989248,0,0.709363,1.26185,58.7929,10.5058,29.4417,0.08274,0,2.83302,3.6e-05,0,26.5259,97265,146675620,52802,79625416,8200,12365600,543,1345,0,0,0,0
3,0,0,0,0,0.0521643,27.4712,0.125524,72.3532,2.95746,0,5.83072,4.44041,0,59.1246,0,0,0,0,0,0,0,0,8222,12398776,0,0
4,0,3.65636,0,3.39783,0.484259,12.2368,7.33737,79.9427,0.027412,0,11.5988,1.2e-05,0,68.3164,93213,140565204,36907,55655756,30308,45704464,1089,232,0,0,0,0
5,0,0,0,0,0.0134255,67.1347,0.055816,32.7806,5.80398,0,4.02983,0.537916,0,22.4089,0,0,0,0,0,0,0,0,30308,45704464,0,0
6,0,44.3607,0,46.4874,3.96219,4.9973,75.5305,15.5164,0.200832,0,7.15024,2.4e-05,0,8.1653,368811,556166988,392701,592193108,367711,554508188,13124,901,0,0,0,0
7,0,0,0,0,0.0239526,11.5768,0.481996,87.9184,69.9634,0,8.33668,0.33028,0,9.28803,0,0,0,0,0,0,0,0,367711,554508188,0,0
8,0,1.60487,0,1.6781,0.438627,68.0136,4.92604,26.5295,0.02688,0,1.17669,0.000456,0,25.3255,88841,133972228,24265,36591620,13303,20060924,624,249,0,0,0,0
9,0,0,0,0,0.0116109,15.9458,0.048924,83.9967,3.53192,0,15.492,0.39626,0,64.5766,0,0,0,0,0,0,0,0,13549,20431892,0,0
10,0,29.1125,0,27.7418,2.14631,5.97532,51.3135,40.5733,0.146436,0,1.32487,0,0,39.102,242141,365148628,266448,401803584,241317,363906036,8619,896,0,0,0,0
11,0,0,0,0,0.0151832,12.6483,0.3368,87.0028,45.9305,0,2.20079,0.867812,0,38.0037,0,0,0,0,0,0,0,0,241345,363948260,0,0
12,0,7.3699,0,8.65652,0.79086,17.4484,14.0332,67.7303,0.050784,0,23.0975,0.001392,0,44.5806,109510,165141080,71797,108269876,61090,92123720,2096,469,0,0,0,0
13,0,0,0,0,0.0120156,47.9531,0.109168,51.9284,11.7979,0,1.14954,0.910404,0,38.0705,0,0,0,0,0,0,0,0,61810,93209480,0,0
14,0,14.4728,0,14.8074,2.29235,28.061,30.0133,39.6356,0.113624,0,0.596832,4.8e-05,0,38.9251,136148,205311184,154887,233569596,119967,180910236,4353,1182,0,0,0,0
