Unable to init server: Could not connect: Connection refused
Unable to init server: Could not connect: Connection refused

(mab_agents.py:22620): Gdk-CRITICAL **: 02:19:34.811: gdk_cursor_new_for_display: assertion 'GDK_IS_DISPLAY (display)' failed
Simulation time: 100.0 s
Seed: 1
Waiting for simulation script to connect on port: tcp://localhost:50002
Please start proper ns-3 simulation script using ./waf --run "..."
Start
Progress: 0% 10% 20% 30% 40% 50% 60% 70% 80% 90% 100%
Done
Final step: 35102
Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   0  -63.0        23    0.087528356579009259    0.117041147196130554          0.79                72
   0  -81.0        23    0.306436648813968537    0.049875466805381644         30.96               401
   0  -80.0        23    0.330111764978268496    0.037608870722230077         42.75               706
   0  -79.0        23    0.226852418826777091    0.079056941504209485          4.17               159
   0  -78.0        23    0.241099662234091600    0.066815310478106099          6.64               223
   0  -77.0        23    0.204235672399105339    0.080845208345444328          3.32               152
   0  -76.0        23    0.133375425751946053    0.115470053837925163          1.11                74
   0  -75.0        23    0.149077203976567013    0.097590007294853329          2.32               104
   0  -73.0        23    0.150020012561899063    0.099014754297667429          1.48               101
   0  -72.0        23    0.131954066300867284    0.104257207028537385          1.45                91
   0  -70.0        23    0.095407669794105407    0.113960576459637947          1.11                76
   0  -69.0        23    0.083538143743468060    0.124034734589208454          0.73                64
   0  -68.0        23    0.107480178348069083    0.111803398874989482          0.87                79
   0  -66.0        23    0.107835441572790902    0.118678165819385339          0.93                70
   0  -65.0        23    0.086922726763513120    0.120385853085769198          0.80                68
   0  -62.0        23    0.017272370313234274    0.137360563948689035          0.54                52
                                                                              99.96              2492    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   1  -82.0        23    0.193682966524918315    0.084515425472851652         21.36               139
   1  -81.0        23    0.196384061783319602    0.087705801930702917         19.71               129
   1  -80.0        23    0.201972968569883615    0.079056941504209485         16.38               159
   1  -78.0        23    0.243618336720006184    0.073720978077448568         14.76               183
   1  -77.0        23    0.259104456721503562    0.062500000000000000         10.83               255
   1  -76.0        23    0.232569832504029433    0.077382323253413682          5.77               166
   1  -73.0        23    0.123716500120190379    0.105409255338945976          1.81                89
   1  -72.0        23    0.147248849364145284    0.099503719020998915          2.03               100
   1  -71.0        23    0.141399170367542404    0.098058067569092022          1.98               103
