Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,99.541,8.46157,100.75,7.45133,1.69172,15.9897,17.5267,64.7922,0.069588,0,37.4974,0,0,27.2252,113224,170741792,89897,135564676,70139,105769612,2527,687,0,0,0,0
1,0,0,0,0,0.560156,20.1414,0.141836,79.157,13.5368,0,28.8537,1.83165,0,34.9349,0,0,0,0,0,0,0,0,70193,105851044,0,0
2,0,5.00861,0,5.28464,1.24974,17.9786,11.4132,69.3643,0.050112,0,52.3545,4.8e-05,0,16.9596,101861,153606388,58004,87470032,41517,62607636,1489,591,0,0,0,0
3,0,0,0,0,0.312017,21.8755,0.101824,77.711,7.95416,0,34.9748,1.69893,0,33.0831,0,0,0,0,0,0,0,0,41545,62649860,0,0
4,0,5.08727,0,6.48621,0.982665,21.1751,9.91819,67.9244,0.033872,0,19.3461,0,0,48.5445,102277,154233716,50384,75979072,42169,63590852,1517,291,0,0,0,0
5,0,0,0,0,0.297738,25.4163,0.070784,74.2156,8.05312,0,16.4045,0.367548,0,49.3904,0,0,0,0,0,0,0,0,42197,63633076,0,0
6,0,2.71235,0,2.38928,0.966594,31.5208,6.03472,61.4783,0.024696,0,14.8984,0,0,46.5553,91809,138447972,30028,45282224,22483,33904364,818,266,0,0,0,0
7,0,0,0,0,0.297748,31.4862,0.048088,68.1683,4.31569,0,15.3814,0.378004,0,48.0932,0,0,0,0,0,0,0,0,22511,33946588,0,0
8,0,2.53621,0,2.68786,0.578714,44.9173,5.27468,49.2297,0.01998,0,8.63696,0,0,40.5727,90591,136611228,26160,39449280,21023,31702684,780,180,0,0,0,0
9,0,0,0,0,0.28035,50.7998,0.040276,48.88,4.05499,0,8.30273,0.304044,0,36.2182,0,0,0,0,0,0,0,0,21023,31702684,0,0
