Unable to init server: Could not connect: Connection refused
Unable to init server: Could not connect: Connection refused

(mab_agents.py:22948): Gdk-CRITICAL **: 02:40:28.981: gdk_cursor_new_for_display: assertion 'GDK_IS_DISPLAY (display)' failed
Simulation time: 100.0 s
Seed: 1
Waiting for simulation script to connect on port: tcp://localhost:50001
Please start proper ns-3 simulation script using ./waf --run "..."
Start
Progress: 0% 10% 20% 30% 40% 50% 60% 70% 80% 90% 100%
Done
Final step: 5264
Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   0  -63.0        23    0.600038716789513038    0.176776695296636893          5.72                31
   0  -81.0        23    0.019503466666666677    0.353553390593273786          3.50                 7
   0  -80.0        23    0.038380830862214700    0.353553390593273786          3.14                 7
   0  -79.0        23    0.058058410541539755    0.301511344577763629          4.74                10
   0  -78.0        23    0.040615466666666683    0.316227766016837941          4.00                 9
   0  -77.0        23    0.145276259425516363    0.333333333333333315          3.63                 8
   0  -76.0        23    0.094546014814814811    0.333333333333333315          4.00                 8
   0  -75.0        23    0.124335257757678966    0.301511344577763629          4.77                10
   0  -73.0        23    0.100668039180298305    0.301511344577763629          4.54                10
   0  -72.0        23    0.291185505620290330    0.250000000000000000          6.68                15
   0  -70.0        23    0.515754398418230231    0.169030850945703304         11.67                34
   0  -69.0        23    0.526408366384532367    0.192450089729875262          8.35                26
   0  -68.0        23    0.483094661760153310    0.192450089729875262          6.29                26
   0  -66.0        23    0.669228763252878944    0.144337567297406433         11.68                47
   0  -65.0        23    0.656439843789986432    0.141421356237309503         10.77                49
   0  -62.0        23    0.569237155059480249    0.166666666666666657          6.09                35
                                                                              99.55               332    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   1  -82.0        23    0.006755840000000008    0.316227766016837941          4.50                 9
   1  -81.0        23    0.000000000000000000    0.258198889747161098          7.00                14
   1  -80.0        23    0.003753244444444448    0.288675134594812866          5.50                11
   1  -78.0        23    0.009064477538167736    0.288675134594812866          5.27                11
   1  -77.0        23    0.036595127079578516    0.288675134594812866          5.38                11
   1  -76.0        23    0.040871369696969716    0.301511344577763629          5.00                10
   1  -73.0        23    0.090442486300307365    0.250000000000000000          7.06                15
   1  -72.0        23    0.110044483699092838    0.267261241912424397          5.63                13
   1  -71.0        23    0.103182853647523526    0.258198889747161098          6.20                14
   1  -70.0        23    0.157815748023673458    0.218217890235992362          8.96                20
   1  -67.0        23    0.199992856220111676    0.204124145231931509          9.53                23
   1  -66.0        23    0.316041979997061184    0.196116135138184045          9.22                25
   1  -65.0        23    0.359374918318524361    0.185695338177051861         10.08                28
   1  -62.0        23    0.436444416037632066    0.152498570332604666         10.47                42
                                                                              99.81               246    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   2  -64.0        23    0.348266898067787989    0.176776695296636893         11.39                31
   2  -82.0        23    0.004503893333333338    0.316227766016837941          4.50                 9
   2  -80.0        23    0.003820266666666673    0.288675134594812866          5.50                11
   2  -79.0        23    0.006434133333333340    0.267261241912424397          6.50                13
   2  -78.0        23    0.027230171428571443    0.267261241912424397          6.50                13
   2  -77.0        23    0.013189973333333332    0.316227766016837941          4.50                 9
   2  -76.0        23    0.017632000000000016    0.277350098112614574          6.00                12
   2  -73.0        23    0.056080933480722454    0.258198889747161098          6.67                14
   2  -72.0        23    0.079898607889888909    0.267261241912424397          5.83                13
   2  -71.0        23    0.096559309803921564    0.242535625036332969          8.00                16
   2  -70.0        23    0.087752869196713837    0.288675134594812866          4.12                11
   2  -69.0        23    0.088927285315727037    0.277350098112614574          5.21                12
   2  -67.0        23    0.199193151726624551    0.242535625036332969          6.10                16
   2  -66.0        23    0.151874720590076367    0.235702260395515839          7.98                17
   2  -62.0        23    0.469633317478082568    0.154303349962091912         10.92                41
                                                                              99.71               238    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   3  -64.0        23    0.344353760078284665    0.192450089729875262          9.38                26
   3  -63.0        23    0.442381553653672877    0.156173761888606072         11.22                40
   3  -82.0        23    0.001947520397089875    0.288675134594812866          5.24                11
   3  -79.0        23    0.001732266666666668    0.277350098112614574          6.00                12
   3  -78.0        23    0.005629866666666673    0.288675134594812866          5.50                11
   3  -77.0        23    0.005629866666666672    0.353553390593273786          3.50                 7
   3  -75.0        23    0.009986311111111118    0.288675134594812866          5.50                11
   3  -74.0        23    0.020849066666666669    0.277350098112614574          6.00                12
   3  -73.0        23    0.008408242424242441    0.301511344577763629          5.00                10
   3  -70.0        23    0.043970042922492715    0.267261241912424397          6.10                13
   3  -69.0        23    0.100080815216503680    0.288675134594812866          4.10                11
   3  -67.0        23    0.101042999687679838    0.277350098112614574          5.81                12
   3  -66.0        23    0.100533333333333322    0.288675134594812866          5.50                11
   3  -65.0        23    0.190963735682156188    0.213200716355610442          8.83                21
   3  -62.0        23    0.512089677772773144    0.152498570332604666         11.85                42
                                                                              99.54               250    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   4  -64.0        23    0.528669576346775250    0.152498570332604666         13.24                42
   4  -63.0        23    0.622048672307150108    0.144337567297406433          9.92                47
   4  -82.0        23    0.002412799999999999    0.333333333333333315          4.00                 8
   4  -81.0        23    0.007595851851851863    0.333333333333333315          4.00                 8
   4  -79.0        23    0.003217066666666670    0.377964473009227198          3.00                 6
   4  -78.0        23    0.005629866666666671    0.288675134594812866          5.50                11
   4  -75.0        23    0.002502162962962965    0.333333333333333315          4.00                 8
   4  -74.0        23    0.000000000000000000    0.377964473009227198          3.00                 6
   4  -73.0        23    0.007506488888888896    0.408248290463863017          2.50                 5
   4  -72.0        23    0.000089362962962967    0.333333333333333315          4.00                 8
   4  -71.0        23    0.040454613333333347    0.316227766016837941          4.50                 9
   4  -70.0        23    0.047341737866112656    0.333333333333333315          3.75                 8
   4  -69.0        23    0.059150157575757582    0.301511344577763629          5.00                10
   4  -68.0        23    0.134794748399107989    0.277350098112614574          5.35                12
   4  -66.0        23    0.438897161320836005    0.182574185835055358         10.50                29
   4  -65.0        23    0.454673539417637773    0.185695338177051861          9.03                28
   4  -62.0        23    0.625062412261115141    0.149071198499985985          8.65                44
                                                                              99.95               289    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   5  -63.0        23    0.538411370456754690    0.131306432859722544         15.17                57
   5  -82.0        23    0.003016000000000001    0.288675134594812866          5.50                11
   5  -81.0        23    0.001286826666666663    0.316227766016837941          4.50                 9
   5  -79.0        23    0.000000000000000000    0.316227766016837941          4.50                 9
   5  -78.0        23    0.002502162962962965    0.333333333333333315          4.00                 8
   5  -75.0        23    0.002502162962962965    0.333333333333333315          4.00                 8
   5  -74.0        23    0.002047224242424245    0.301511344577763629          5.00                10
   5  -73.0        23    0.022373236363636369    0.301511344577763629          5.00                10
   5  -71.0        23    0.036192000000000009    0.288675134594812866          5.50                11
   5  -70.0        23    0.105069955120458317    0.267261241912424397          5.58                13
   5  -69.0        23    0.085670828147327280    0.267261241912424397          5.58                13
   5  -66.0        23    0.332158819167221953    0.200000000000000011          9.30                24
   5  -65.0        23    0.447731170148443491    0.166666666666666657         12.12                35
   5  -62.0        23    0.518969196776604136    0.140028008402800969         14.06                50
                                                                              99.81               268    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   6  -64.0        23    0.191786745768686206    0.235702260395515839          7.54                17
   6  -63.0        23    0.206702901930851557    0.196116135138184045          8.04                25
