Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,124.97,13.8867,135.052,14.6891,2.20903,14.0474,26.555,57.1872,0.089264,0,20.3063,7.2e-05,0,36.7916,149089,224826212,137010,206611080,115109,173584372,4131,769,0,0,0,0
1,0,0,0,0,0.170626,19.6989,0.1917,79.9375,22.0626,0,8.70846,1.29412,0,47.8723,0,0,0,0,0,0,0,0,115132,173619056,0,0
2,0,4.83332,0,6.19124,1.16547,16.5316,10.7103,71.5914,0.045148,0,29.8525,7.2e-05,0,41.6937,97661,147272788,54359,81973372,40064,60416512,1456,500,0,0,0,0
3,0,0,0,0,0.0782271,23.2185,0.091576,76.6104,7.75799,0,12.7094,1.16634,0,54.9767,0,0,0,0,0,0,0,0,40064,60416512,0,0
4,0,4.199,0,3.61558,0.736987,36.125,8.09679,55.0453,0.026808,0,8.81892,0,0,46.1996,92265,139135620,40902,61680216,34806,52487448,1258,220,0,0,0,0
5,0,0,0,0,0.0749133,41.9299,0.0569,57.937,6.64559,0,8.15962,0.186724,0,42.9451,0,0,0,0,0,0,0,0,34806,52487448,0,0
6,0,5.22721,0,5.20381,1.23411,33.3469,10.9106,54.5071,0.041584,0,7.65896,1.2e-05,0,46.8065,95782,144439256,55469,83647252,43329,65340132,1566,433,0,0,0,0
7,0,0,0,0,0.0746874,42.0861,0.08266,57.7553,8.28487,0,7.87048,0.56986,0,41.0301,0,0,0,0,0,0,0,0,43329,65340132,0,0
8,0,9.59112,0,12.2395,1.16643,21.1612,18.0771,59.5915,0.058604,0,4.9699,2.4e-05,0,54.563,124420,187625360,92936,140147488,79502,119889016,2855,482,0,0,0,0
9,0,0,0,0,0.0693122,24.4946,0.126128,75.3061,15.1686,0,4.03978,1.31199,0,54.7858,0,0,0,0,0,0,0,0,79502,119889016,0,0
10,0,8.03704,0,10.3057,1.18718,26.1855,15.8151,56.8137,0.054764,0,5.22136,8.4e-05,0,51.5375,110609,166798372,81115,122321420,66620,100462960,2432,485,0,0,0,0
11,0,0,0,0,0.0691619,24.7884,0.114988,75.0236,12.9219,0,10.843,0.916496,0,50.3422,0,0,0,0,0,0,0,0,66620,100462960,0,0
12,0,2.04593,0,1.48327,0.976892,35.6834,6.56853,56.7673,0.036304,0,7.06025,0.000228,0,49.6705,80542,121457336,32756,49396048,16959,25574172,699,496,0,0,0,0
13,0,0,0,0,0.072869,37.3222,0.064232,62.5369,3.78328,0,11.5982,1.21846,0,45.9369,0,0,0,0,0,0,0,0,16985,25613380,0,0
14,0,5.64523,0,6.46811,1.05729,27.461,11.3345,60.1433,0.04074,0,16.0523,0,0,44.0502,100922,152190376,57736,87065888,46794,70565352,1699,381,0,0,0,0
15,0,0,0,0,0.0765573,29.5057,0.08322,70.3306,8.99577,0,15.9443,0.56492,0,44.8256,0,0,0,0,0,0,0,0,46794,70565352,0,0
16,0,7.16927,0,7.6908,1.53196,15.0154,14.5244,68.9243,0.054144,0,23.2292,0,0,45.641,110500,166634000,74282,112017256,59427,89615916,2133,529,0,0,0,0
