Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,262.3,36.7828,303.875,49.5867,3.62731,4.1468,62.4726,29.7581,0.162792,0,21.6058,0.000276,0,7.98919,308962,465914696,324623,489531484,304897,459784676,10954,641,0,0,0,0
1,0,0,0,0,0.76115,7.48717,0.395732,91.3608,58.4687,0,16.7391,1.16063,0,14.9923,0,0,0,0,0,0,0,0,304953,459869124,0,0
2,0,4.25437,0,1.63467,0.679868,11.03,8.58912,79.7057,0.03244,0,10.3974,8.4e-05,0,69.2759,90446,136392568,43522,65631176,35265,53179620,1262,303,0,0,0,0
3,0,0,0,0,0.231624,20.6177,0.06706,79.0884,6.73424,0,7.78573,0.863064,0,63.7054,0,0,0,0,0,0,0,0,35265,53179620,0,0
4,0,6.76344,0,6.21236,0.655016,18.2338,11.7741,69.3404,0.031736,0,2.14786,0,0,67.1608,112339,169407212,60167,90731836,56063,84543004,2018,149,0,0,0,0
5,0,0,0,0,0.0800391,18.3371,0.075288,81.5109,10.6678,0,6.96125,0,0,63.8819,0,0,0,0,0,0,0,0,56063,84543004,0,0
6,0,24.3854,0,37.9968,2.20908,15.5953,41.7919,40.408,0.112828,0,12.6833,3.6e-05,0,27.6118,229550,346161400,216725,326821300,202134,304818072,7224,520,0,0,0,0
7,0,0,0,0,0.0989555,19.7191,0.268368,79.9125,38.4812,0,13.7285,0.50578,0,27.197,0,0,0,0,0,0,0,0,202190,304902520,0,0
8,0,9.32861,0,5.85768,1.02184,28.0295,17.0864,53.8277,0.052448,0,6.867,1.2e-05,0,46.9082,123911,186857788,87789,132385812,77326,116607608,2769,375,0,0,0,0
9,0,0,0,0,0.0889335,35.7564,0.11588,64.0352,14.726,0,8.51618,0.564536,0,40.2285,0,0,0,0,0,0,0,0,77326,116607608,0,0
