Action,CST,Tx pow,Repeat,Duration (ns),Tx ok bytes,Tx bytes,Mean,Std
6,-67.0,23.0,0,500000000,2519868,2654080,0.3101376,0.7071067811865476
1,-82.0,23.0,0,500000000,446368,422240,0.054937599999999996,0.7071067811865476
3,-74.0,23.0,0,500000000,1354184,1477840,0.1666688,0.7071067811865476
2,-79.0,23.0,0,500000000,168896,168896,0.0207872,0.7071067811865476
7,-65.0,23.0,0,500000000,1881984,2068976,0.23162880000000002,0.7071067811865476
2,-79.0,23.0,0,500000000,1013376,1097824,0.09700693333333334,0.5773502691896257
7,-65.0,23.0,0,500000000,1055600,1182272,0.24103253333333333,0.5773502691896257
5,-70.0,23.0,0,500000000,464464,464464,0.0571648,0.7071067811865476
7,-65.0,23.0,0,500000000,1562288,1857856,0.27691520000000003,0.5
8,-62.0,23.0,0,500000000,1209416,1562288,0.14885120000000002,0.7071067811865476
0,-63.0,23.0,0,500000000,1593956,1731184,0.1961792,0.7071067811865476
2,-79.0,23.0,0,500000000,1548716,1688960,0.1680608,0.5
4,-72.0,23.0,0,500000000,104052,168896,0.0128064,0.7071067811865476
6,-67.0,23.0,0,500000000,84448,168896,0.2136874666666667,0.5773502691896257
0,-63.0,23.0,0,500000000,639392,886704,0.18324906666666665,0.5773502691896257
3,-74.0,23.0,0,500000000,294060,337792,0.13524053333333333,0.5773502691896257
8,-62.0,23.0,0,500000000,1596972,2026752,0.23026773333333336,0.5773502691896257
0,-63.0,23.0,0,500000000,1462760,1604512,0.2274528,0.5
6,-67.0,23.0,0,500000000,493116,591136,0.1906112,0.5
1,-82.0,23.0,0,500000000,464464,464464,0.07473493333333332,0.5773502691896257
3,-74.0,23.0,0,500000000,675584,844480,0.1430048,0.5
3,-74.0,23.0,0,500000000,2059928,2311764,0.21581568,0.4472135954999579
5,-70.0,23.0,0,500000000,633360,633360,0.09007786666666667,0.5773502691896257
2,-79.0,23.0,0,500000000,1156636,1384344,0.19139072000000001,0.4472135954999579
4,-72.0,23.0,0,500000000,493116,675584,0.0489984,0.5773502691896257
0,-63.0,23.0,0,500000000,1453712,1562288,0.25352959999999997,0.4472135954999579
5,-70.0,23.0,0,500000000,548912,633360,0.1013376,0.5
