Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,278.241,34.76,303.112,42.3923,4.21824,4.34133,58.8379,32.6094,0.152856,0,17.2199,0.000348,0,15.2362,299315,451367020,305610,460859880,288130,434500040,10326,590,0,0,0,0
1,0,0,0,0,0.505186,7.89818,0.372428,91.2256,55.1552,0,11.3846,1.23517,0,23.4507,0,0,0,0,0,0,0,0,288158,434542264,0,0
2,0,3.66468,0,2.36092,0.611384,13.8908,7.35407,78.1451,0.026332,0,5.4415,4.8e-05,0,72.6773,78640,118589120,37152,56025216,30377,45808516,1093,245,0,0,0,0
3,0,0,0,0,0.16946,23.8091,0.055776,75.9672,5.80766,0,4.49216,0.7562,0,64.9112,0,0,0,0,0,0,0,0,30405,45850740,0,0
4,0,11.4567,0,8.36337,0.836255,15.4659,19.375,64.3241,0.049852,0,1.12964,0,0,63.1446,133494,201308952,99956,150733648,94966,143208728,3408,181,0,0,0,0
5,0,0,0,0,0.0414953,14.9739,0.121804,84.8645,18.0641,0,5.47922,0,0,61.3212,0,0,0,0,0,0,0,0,94966,143208728,0,0
6,0,26.7559,0,37.7434,2.21323,15.9821,45.328,36.4742,0.118596,0,7.49203,3.6e-05,0,28.8635,246166,371218328,235233,354731364,221783,334448764,7920,486,0,0,0,0
7,0,0,0,0,0.0424969,20.8079,0.287044,78.8601,42.195,0,9.52332,0.335796,0,26.8059,0,0,0,0,0,0,0,0,221783,334448764,0,0
8,0,5.20718,0,3.11312,0.663927,31.8458,9.7714,57.7217,0.0308,0,4.00402,0,0,53.6869,92336,139242688,49743,75012444,43163,65089804,1555,235,0,0,0,0
9,0,0,0,0,0.0362661,49.2276,0.06708,50.6666,8.22661,0,5.7165,0.442084,0,36.2814,0,0,0,0,0,0,0,0,43163,65089804,0,0
