Action,CST,Tx pow,Repeat,Duration (ns),Tx ok bytes,Tx bytes,Mean,Std
6,-72.0,23.0,0,11300043,0,42224,0.0,0.7071067811865476
9,-68.0,23.0,0,16461562,42224,42224,0.15784650326621494,0.7071067811865476
0,-82.0,23.0,0,156887772,42224,42224,0.016562157565727938,0.7071067811865476
11,-62.0,23.0,0,5451034,42224,42224,0.47668020415943096,0.7071067811865476
11,-62.0,23.0,0,5618666,0,42224,0.31778680277295396,0.5773502691896257
8,-69.0,23.0,0,33419670,42224,42224,0.07775061812399703,0.7071067811865476
1,-81.0,23.0,0,50726485,42224,42224,0.0512237345047661,0.7071067811865476
5,-74.0,23.0,0,38673337,42224,42224,0.0671884094201646,0.7071067811865476
5,-74.0,23.0,0,55088084,0,42224,0.0447922729467764,0.5773502691896257
10,-66.0,23.0,0,121426579,42224,42224,0.021398939354126085,0.7071067811865476
3,-78.0,23.0,0,56056494,0,42224,0.0,0.7071067811865476
2,-80.0,23.0,0,67393471,42224,42224,0.03855566364878283,0.7071067811865476
9,-68.0,23.0,0,39125920,0,42224,0.10523100217747662,0.5773502691896257
10,-66.0,23.0,0,27950772,42224,42224,0.0762415882449569,0.5773502691896257
4,-77.0,23.0,0,21935080,42224,42224,0.11845865162105632,0.7071067811865476
3,-78.0,23.0,0,16967262,42224,42224,0.10209464948833034,0.5773502691896257
11,-62.0,23.0,0,5487034,42224,42224,0.4751164734307951,0.5
5,-74.0,23.0,0,5469034,42224,42224,0.27114986810511693,0.5
9,-68.0,23.0,0,5514034,42224,42224,0.31454022461513836,0.5
5,-74.0,23.0,0,5586034,42224,42224,0.40298392488562707,0.4472135954999579
8,-69.0,23.0,0,5460034,42224,42224,0.36909672705066665,0.5773502691896257
4,-77.0,23.0,0,5532034,42224,42224,0.3921062052235927,0.5773502691896257
7,-70.0,23.0,0,22402344,42224,42224,0.11598786269865331,0.7071067811865476
1,-81.0,23.0,0,22714282,42224,42224,0.11041248117621584,0.5773502691896257
11,-62.0,23.0,0,5586034,42224,42224,0.5661572091461696,0.4472135954999579
0,-82.0,23.0,0,5460034,42224,42224,0.32830442001182064,0.5773502691896257
2,-80.0,23.0,0,5532034,42224,42224,0.3388375465754104,0.5773502691896257
5,-74.0,23.0,0,5541034,42224,42224,0.4921325197373971,0.408248290463863
5,-74.0,23.0,0,55615398,42224,42224,0.4351766951910619,0.3779644730092272
2,-80.0,23.0,0,39124419,42224,42224,0.287335042824822,0.5
5,-74.0,23.0,0,5519666,0,42224,0.38077960829217916,0.3535533905932738
4,-77.0,23.0,0,146017838,42224,42224,0.30297719696993447,0.5
7,-70.0,23.0,0,27405216,42224,42224,0.1405346201403153,0.5773502691896257
3,-78.0,23.0,0,308176910,42224,42224,0.08078674747285591,0.5
4,-77.0,23.0,0,67037993,0,42224,0.24238175757594757,0.4472135954999579
4,-77.0,23.0,0,254229722,0,42224,0.2019847979799563,0.408248290463863
7,-70.0,23.0,0,50386834,42224,42224,0.13118547857556087,0.5
5,-74.0,23.0,0,22412364,42224,42224,0.364234320140704,0.3333333333333333
11,-62.0,23.0,0,5510666,0,42224,0.4717976742884747,0.408248290463863
5,-74.0,23.0,0,11543592,42224,42224,0.3728298042491022,0.31622776601683794
7,-70.0,23.0,0,38922370,42224,42224,0.13165179275044253,0.4472135954999579
4,-77.0,23.0,0,45395608,42224,42224,0.18948383183533565,0.3779644730092272
6,-72.0,23.0,0,71783309,0,42224,0.0,0.5773502691896257
8,-69.0,23.0,0,6314235,42224,42224,0.48257985397226655,0.5
2,-80.0,23.0,0,54773287,42224,42224,0.24884370756571558,0.4472135954999579
8,-69.0,23.0,0,22121168,42224,42224,0.43304874401337135,0.4472135954999579
0,-82.0,23.0,0,22363297,42224,42224,0.3043235055346632,0.5
