Action,CST,Tx pow,Repeat,Duration (ns),Tx ok bytes,Tx bytes,Mean,Std
0,-82,23,0,500000000,506688,633360,0.0623616,0.7071067811865476
1,-77,23,0,500000000,589628,675584,0.07256960000000001,0.7071067811865476
4,-62,23,0,500000000,631852,886704,0.0777664,0.7071067811865476
4,-62,23,0,393091797,253344,337792,0.07828490999558355,0.5773502691896257
2,-72,23,0,500000000,928928,1140048,0.1143296,0.7071067811865476
4,-62,23,0,500000000,1052584,1224496,0.12348808249668766,0.5
1,-77,23,0,500000000,126672,126672,0.058773333333333344,0.5773502691896257
3,-67,23,0,10565441,42224,42224,0.2459338895555803,0.7071067811865476
3,-67,23,0,500000000,1518556,1900080,0.2885553930370535,0.5773502691896257
2,-72,23,0,500000000,294060,295568,0.10034773333333334,0.5773502691896257
0,-82,23,0,500000000,0,0,0.041574400000000004,0.5773502691896257
2,-72,23,0,327684420,253344,297076,0.09904954161914686,0.5
1,-77,23,0,500000000,208104,211120,0.05688640000000001,0.5
3,-67,23,0,500000000,1731184,2026752,0.3229509447777902,0.5
3,-67,23,0,103258674,295568,295568,0.3288199213156802,0.4472135954999579
2,-72,23,0,500000000,422240,591136,0.1000268332953175,0.4472135954999579
3,-67,23,0,500000000,209612,211120,0.28261606776306686,0.408248290463863
4,-62,23,0,369978463,1731184,1731184,0.21396949467502752,0.4472135954999579
0,-82,23,0,500000000,0,0,0.0311808,0.5
4,-62,23,0,500000000,2153424,2406768,0.2666535122291896,0.408248290463863
1,-77,23,0,500000000,84448,42224,0.04966656000000001,0.4472135954999579
1,-77,23,0,81550108,84448,84448,0.06263054583149133,0.408248290463863
2,-72,23,0,500000000,1224496,1435616,0.13359142774609792,0.408248290463863
3,-67,23,0,374240543,844480,1097824,0.28191736104912063,0.3779644730092272
3,-67,23,0,500000000,2237872,2448992,0.31553529091798055,0.3535533905932738
1,-77,23,0,494367012,84448,84448,0.05668676164358306,0.3779644730092272
4,-62,23,0,500000000,1266720,1308944,0.2731041533393054,0.3779644730092272
3,-67,23,0,381951762,1097824,1224496,0.3197817665532685,0.3333333333333333
3,-67,23,0,500000000,547404,548912,0.30127814989794166,0.31622776601683794
4,-62,23,0,500000000,1182272,1435616,0.27534373417189223,0.3535533905932738
3,-67,23,0,282051759,506688,548912,0.2939892130255816,0.30151134457776363
3,-67,23,0,500000000,506688,717808,0.27988371194011646,0.28867513459481287
4,-62,23,0,400658318,1517048,1815632,0.2965296560971979,0.3333333333333333
3,-67,23,0,387597073,2403752,2533440,0.31706830100545624,0.2773500981126146
2,-72,23,0,500000000,253344,253344,0.12341573806808394,0.3779644730092272
1,-77,23,0,500000000,0,0,0.049600916438135176,0.3535533905932738
3,-67,23,0,371206362,2194140,2280096,0.3463839603325611,0.2672612419124244
3,-67,23,0,500000000,1096316,1266720,0.341282522977057,0.2581988897471611
2,-72,23,0,500000000,295568,295568,0.11708317080957345,0.3535533905932738
4,-62,23,0,156729958,844480,971152,0.33319202759743893,0.31622776601683794
3,-67,23,0,500000000,1603004,1942304,0.344613965290991,0.25
4,-62,23,0,94868351,506688,591136,0.36266082826252105,0.30151134457776363
2,-72,23,0,500000000,0,0,0.10407392960850974,0.3333333333333333
3,-67,23,0,500000000,1182272,1393392,0.3414614261562268,0.24253562503633297
0,-82,23,0,500000000,0,0,0.02494464,0.4472135954999579
0,-82,23,0,500000000,0,0,0.020787200000000002,0.408248290463863
3,-67,23,0,242218796,803764,1099332,0.3451808421791215,0.23570226039551584
4,-62,23,0,500000000,1266720,1477840,0.3584230925739776,0.28867513459481287
4,-62,23,0,360407607,842972,1055600,0.3529959021898227,0.2773500981126146
3,-67,23,0,500000000,1097824,1266720,0.3412362504854835,0.22941573387056177
3,-67,23,0,500000000,844480,886704,0.3345680379612094,0.22360679774997896
1,-77,23,0,500000000,168896,126672,0.04870908127834238,0.3333333333333333
4,-62,23,0,54302083,251836,253344,0.36855277347520543,0.2672612419124244
0,-82,23,0,500000000,0,0,0.0178176,0.3779644730092272
1,-77,23,0,500000000,42224,43732,0.044877533150508145,0.31622776601683794
4,-62,23,0,500000000,380016,422240,0.35021874857685836,0.2581988897471611
3,-67,23,0,500000000,760032,971152,0.3275450266297232,0.21821789023599236
4,-62,23,0,243230893,968136,1055600,0.35894789802291277,0.25
4,-62,23,0,464109911,2231840,2533440,0.3726485982529683,0.24253562503633297
4,-62,23,0,500000000,1140048,1351168,0.3675362983500256,0.23570226039551584
0,-82,23,0,500000000,0,0,0.015590399999999999,0.3535533905932738
0,-82,23,0,500000000,0,0,0.013858133333333333,0.3333333333333333
4,-62,23,0,341915528,1140048,1182272,0.3697909691972164,0.22941573387056177
0,-82,23,0,500000000,0,0,0.012472319999999999,0.31622776601683794
4,-62,23,0,500000000,42224,42224,0.35182110073735556,0.22360679774997896
4,-62,23,0,500000000,969644,1097824,0.34643350546414814,0.21821789023599236
4,-62,23,0,390555776,1266720,1393392,0.34883129980412636,0.21320071635561044
4,-62,23,0,500000000,1983020,2153424,0.3548876780735122,0.20851441405707477
1,-77,23,0,500000000,126672,84448,0.043632375591371036,0.30151134457776363
3,-67,23,0,500000000,84448,126672,0.3136014890556449,0.21320071635561044
3,-67,23,0,397299191,168896,168896,0.30224147972375276,0.20851441405707477
4,-62,23,0,500000000,1815632,2111200,0.3587225581537825,0.2041241452319315
3,-67,23,0,92622870,420732,422240,0.31294254753910405,0.2041241452319315
3,-67,23,0,500000000,675584,760032,0.3070767496375399,0.2
4,-62,23,0,500000000,1349660,1477840,0.3576626158276312,0.2
1,-77,23,0,500000000,168896,126672,0.04346087762542345,0.28867513459481287
4,-62,23,0,25454361,168896,168896,0.3753158197483497,0.19611613513818404
4,-62,23,0,500000000,2067468,2364544,0.3802639449428553,0.19245008972987526
1,-77,23,0,407164191,211120,168896,0.04502673372602207,0.2773500981126146
4,-62,23,0,500000000,2151916,2322320,0.3856010326234676,0.1889822365046136
3,-67,23,0,34779970,209612,211120,0.3237953466433506,0.19611613513818404
4,-62,23,0,500000000,1731184,1984528,0.3869988452916239,0.18569533817705186
2,-72,23,0,500000000,337792,295568,0.10198141664765877,0.31622776601683794
2,-72,23,0,500000000,0,84448,0.09271037877059887,0.30151134457776363
4,-62,23,0,196014459,126672,168896,0.37675011677079195,0.18257418583505536
