Action,CST,Tx pow,Repeat,Duration (ns),Tx ok bytes,Tx bytes,Mean,Std
0,-82,23,0,82363433,42224,42224,0.0315479807647163,0.7071067811865476
1,-77,23,0,100429796,42224,42224,0.025872799741622494,0.7071067811865476
4,-62,23,0,17259183,42224,42224,0.15055173816744397,0.7071067811865476
4,-62,23,0,10983074,42224,42224,0.25808930366378063,0.5773502691896257
2,-72,23,0,5469052,42224,42224,0.4751097630814262,0.7071067811865476
4,-62,23,0,16801759,0,42224,0.1935669777478355,0.5
2,-72,23,0,27689296,42224,42224,0.3793007199713921,0.5773502691896257
3,-67,23,0,24404220,42224,42224,0.10647338861885362,0.7071067811865476
3,-67,23,0,77595997,0,42224,0.07098225907923575,0.5773502691896257
2,-72,23,0,55744585,42224,42224,0.3077818395949104,0.5
0,-82,23,0,60653541,42224,42224,0.049592012495801696,0.5773502691896257
2,-72,23,0,27486327,42224,42224,0.28403918174348297,0.4472135954999579
1,-77,23,0,29174524,42224,42224,0.07662453760477599,0.5773502691896257
3,-67,23,0,10875118,42224,42224,0.1727020647081664,0.5
3,-67,23,0,5487042,40716,42224,0.3208174433569747,0.4472135954999579
2,-72,23,0,22717911,0,42224,0.23669931811956912,0.408248290463863
3,-67,23,0,79038921,0,42224,0.26734786946414557,0.408248290463863
4,-62,23,0,27770646,42224,42224,0.19228015124531178,0.4472135954999579
0,-82,23,0,112102897,42224,42224,0.048783361964585784,0.5
4,-62,23,0,5528666,0,42224,0.16023345937109315,0.408248290463863
1,-77,23,0,51032332,42224,42224,0.08292677339916701,0.5
1,-77,23,0,11366164,42224,42224,0.15778475879431403,0.4472135954999579
2,-72,23,0,22094848,0,42224,0.20288512981677354,0.3779644730092272
3,-67,23,0,71901042,42224,42224,0.23948061906234222,0.3779644730092272
3,-67,23,0,11291114,42224,42224,0.2670775088530276,0.3535533905932738
1,-77,23,0,99868741,0,42224,0.13148729899526168,0.408248290463863
4,-62,23,0,22113635,42224,42224,0.17091501246640753,0.3779644730092272
3,-67,23,0,13209146,42224,42224,0.281116049457512,0.3333333333333333
2,-72,23,0,5800714,0,42224,0.17752448858967684,0.3535533905932738
