Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,314.952,52.4819,334.776,57.9506,2.72697,1.52524,85.4887,10.2684,0.20274,0,5.69918,0.000132,0,4.36639,435557,656819956,445117,671236436,435029,656023732,15563,334,0,0,0,0
1,0,0,0,0,0.223466,5.00064,0.521012,94.2589,82.928,0,4.0801,0.452732,0,6.79811,0,0,0,0,0,0,0,0,435029,656023732,0,0
2,0,0.800929,0,0.205691,0.155114,8.13296,1.68469,90.0313,0.006172,0,2.50229,1.2e-05,0,87.5228,40032,60368256,8054,12145432,6639,10011612,251,54,0,0,0,0
3,0,0,0,0,0.067127,13.4,0.012904,86.524,1.27239,0,2.0868,0.159912,0,83.0049,0,0,0,0,0,0,0,0,6639,10011612,0,0
4,0,6.07495,0,1.90973,0.522923,7.53949,10.4115,81.5306,0.02716,0,0.824784,0,0,80.6787,89543,135030844,53388,80509104,50356,75936848,1818,108,0,0,0,0
5,0,0,0,0,0.0266818,8.42536,0.06578,91.4868,9.58046,0,2.42714,0,0,79.4792,0,0,0,0,0,0,0,0,50356,75936848,0,0
6,0,43.8922,0,56.5295,2.30925,7.56811,71.559,18.5693,0.170904,0,3.65142,8.4e-05,0,14.7469,377758,569659064,372357,561514356,363828,548652624,12991,312,0,0,0,0
7,0,0,0,0,0.0234611,10.2389,0.43724,89.3006,69.1936,0,7.17403,0.18634,0,12.7467,0,0,0,0,0,0,0,0,363828,548652624,0,0
8,0,4.01731,0,1.16357,0.461547,27.2721,7.49646,64.77,0.023424,0,2.06114,0,0,62.6855,77070,116221560,38014,57325112,33300,50216400,1199,171,0,0,0,0
9,0,0,0,0,0.0205414,61.9038,0.051216,37.9825,6.34448,0,3.01822,0.278184,0,28.3416,0,0,0,0,0,0,0,0,33300,50216400,0,0
10,0,13.1353,0,15.5981,1.62631,14.5848,24.1058,59.6802,0.074148,0,2.13876,0.000144,0,57.4671,144362,217697896,124359,187533372,108880,164191040,3908,550,0,0,0,0
11,0,0,0,0,0.0379884,49.9132,0.164104,49.8428,20.8157,0,3.91305,0.91592,0,24.1982,0,0,0,0,0,0,0,0,108936,164275488,0,0
12,0,12.4922,0,5.04999,3.50264,19.4827,31.3703,45.6432,0.133432,0,5.441,7.2e-05,0,40.0687,145839,219925212,161661,243784788,103549,156151892,4221,1595,0,0,0,0
13,0,0,0,0,0.0169221,31.5783,0.25302,68.1505,22.4196,0,4.38961,5.42326,0,35.9181,0,0,0,0,0,0,0,0,103544,156144352,0,0
14,0,21.4183,0,20.5673,1.79939,13.0131,36.6723,48.5193,0.097636,0,3.96876,0,0,44.4529,195049,294133892,190073,286630084,177539,267728812,6359,437,0,0,0,0
15,0,0,0,0,0.0272422,17.8894,0.233716,81.8484,33.8303,0,3.68441,0.03746,0,44.2963,0,0,0,0,0,0,0,0,177539,267728812,0,0
16,0,2.72683,0,2.16006,0.692465,35.5054,5.98667,57.8143,0.024196,0,9.61826,3.6e-05,0,48.1718,88248,133077984,29843,45003244,22603,34085324,822,266,0,0,0,0
17,0,0,0,0,0.179518,28.0831,0.047276,71.6832,4.31614,0,9.37803,0.469472,0,57.5195,0,0,0,0,0,0,0,0,22603,34085324,0,0
18,0,26.2731,0,37.0479,6.65914,9.76535,49.8333,33.7534,0.159552,0,6.8661,0.00036,0,26.7274,230719,347924252,257925,388950900,217781,328413748,7940,1285,0,0,0,0
19,0,0,0,0,0.468441,11.3231,0.34626,87.8681,42.4226,0,19.9414,2.78255,0,22.7216,0,0,0,0,0,0,0,0,217809,328455972,0,0
20,0,3.71245,0,0.539261,0.635723,4.62874,8.02829,86.7113,0.03372,0,6.37014,0.001224,0,80.3062,78254,118007032,40778,61493224,30773,46405684,1075,390,0,0,0,0
21,0,0,0,0,0.216604,5.35273,0.067164,94.3675,6.24624,0,85.5707,0.4476,0,2.103,0,0,0,0,0,0,0,0,31363,47295404,0,0
22,0,0.570868,0,0.124259,0.233132,76.9754,2.11112,20.3133,0.01212,0,8.67132,2.4e-05,0,11.6298,47059,70964972,10157,15316756,4732,7135856,202,167,0,0,0,0
23,0,0,0,0,0.0627988,78.5614,0.02108,20.9877,1.09114,0,3.53208,0.544392,0,15.8201,0,0,0,0,0,0,0,0,4746,7156968,0,0
24,0,46.7375,0,56.6477,2.26516,8.52888,75.5719,13.643,0.176344,0,0.7719,0,0,12.6947,398117,600360436,393377,593212516,387413,584218804,13841,212,0,0,0,0
