Action,CST,Tx pow,Repeat,Duration (ns),Tx ok bytes,Tx bytes,Mean,Std
0,-82,23,0,500000000,358904,358904,0.0441728,0.7071067811865476
1,-77,23,0,500000000,292552,464464,0.036006399999999994,0.7071067811865476
4,-62,23,0,500000000,1508,2026752,0.0001856,0.7071067811865476
4,-62,23,0,500000000,0,84448,0.00012373333333333335,0.5773502691896257
2,-72,23,0,500000000,0,0,0.0,0.7071067811865476
4,-62,23,0,500000000,0,0,9.28e-05,0.5
1,-77,23,0,500000000,268424,380016,0.0460288,0.5773502691896257
3,-67,23,0,500000000,33176,126672,0.0040831999999999995,0.7071067811865476
3,-67,23,0,500000000,40716,506688,0.006062933333333333,0.5773502691896257
2,-72,23,0,500000000,1560780,1731184,0.128064,0.5773502691896257
0,-82,23,0,500000000,126672,168896,0.039842133333333335,0.5773502691896257
2,-72,23,0,500000000,168896,211120,0.10644160000000001,0.5
1,-77,23,0,500000000,422240,591136,0.0605056,0.5
3,-67,23,0,500000000,40716,168896,0.0070528,0.5
3,-67,23,0,500000000,253344,754000,0.018114560000000002,0.4472135954999579
2,-72,23,0,500000000,0,0,0.08515328000000001,0.4472135954999579
3,-67,23,0,500000000,131196,211120,0.020477866666666667,0.408248290463863
4,-62,23,0,500000000,3016,211120,0.00022272000000000004,0.4472135954999579
0,-82,23,0,500000000,168896,380016,0.0402752,0.5
4,-62,23,0,500000000,113100,295568,0.0048256,0.408248290463863
1,-77,23,0,500000000,380016,506688,0.06711296,0.4472135954999579
1,-77,23,0,500000000,631852,717808,0.08184960000000001,0.408248290463863
2,-72,23,0,500000000,294060,380016,0.08302506666666667,0.408248290463863
3,-67,23,0,500000000,0,337792,0.017552457142857143,0.3779644730092272
3,-67,23,0,500000000,46748,295568,0.0167968,0.3535533905932738
1,-77,23,0,500000000,211120,422240,0.0775808,0.3779644730092272
4,-62,23,0,500000000,107068,295568,0.007901257142857143,0.3779644730092272
3,-67,23,0,500000000,250328,717808,0.021777066666666664,0.3333333333333333
2,-72,23,0,500000000,0,0,0.07116434285714286,0.3779644730092272
2,-72,23,0,500000000,22620,84448,0.0629648,0.3535533905932738
3,-67,23,0,500000000,108576,493116,0.022272,0.31622776601683794
3,-67,23,0,500000000,0,70876,0.02024727272727273,0.30151134457776363
4,-62,23,0,500000000,177944,1097824,0.012388799999999998,0.3535533905932738
3,-67,23,0,500000000,19604,633360,0.018962133333333336,0.28867513459481287
2,-72,23,0,500000000,0,0,0.05596871111111111,0.3333333333333333
1,-77,23,0,500000000,211120,464464,0.0743792,0.3535533905932738
3,-67,23,0,500000000,125164,548912,0.019873476923076925,0.2773500981126146
1,-77,23,0,500000000,42224,126672,0.0672696888888889,0.3333333333333333
2,-72,23,0,500000000,168896,295568,0.05452928,0.31622776601683794
4,-62,23,0,500000000,126672,295568,0.0144768,0.3333333333333333
3,-67,23,0,500000000,82940,253344,0.01991222857142857,0.2672612419124244
4,-62,23,0,500000000,0,168896,0.01302912,0.31622776601683794
2,-72,23,0,500000000,633360,717808,0.06374516363636364,0.30151134457776363
0,-82,23,0,500000000,0,0,0.03222016,0.4472135954999579
0,-82,23,0,500000000,464464,591136,0.04590506666666666,0.408248290463863
0,-82,23,0,500000000,337792,422240,0.051225599999999996,0.3779644730092272
3,-67,23,0,500000000,45240,253344,0.019327146666666666,0.2581988897471611
4,-62,23,0,500000000,87464,337792,0.01380189090909091,0.30151134457776363
2,-72,23,0,500000000,84448,84448,0.06016533333333333,0.28867513459481287
3,-67,23,0,500000000,43732,464464,0.018792,0.25
3,-67,23,0,500000000,0,211120,0.017686588235294117,0.24253562503633297
1,-77,23,0,500000000,294060,548912,0.06778112,0.31622776601683794
2,-72,23,0,500000000,126672,168896,0.05793575384615384,0.2773500981126146
0,-82,23,0,500000000,168896,295568,0.0500192,0.3535533905932738
1,-77,23,0,500000000,547404,802256,0.07386880000000001,0.30151134457776363
4,-62,23,0,500000000,134212,380016,0.015404800000000001,0.28867513459481287
3,-67,23,0,500000000,84448,253344,0.017858844444444445,0.23570226039551584
0,-82,23,0,500000000,0,0,0.04446151111111111,0.3333333333333333
2,-72,23,0,500000000,0,0,0.05379748571428571,0.2672612419124244
2,-72,23,0,500000000,0,0,0.050210986666666665,0.2581988897471611
0,-82,23,0,500000000,168896,337792,0.0441728,0.31622776601683794
0,-82,23,0,500000000,464464,506688,0.050550690909090916,0.30151134457776363
4,-62,23,0,500000000,137228,337792,0.016818215384615386,0.2773500981126146
0,-82,23,0,500000000,0,0,0.04633813333333334,0.28867513459481287
4,-62,23,0,500000000,193024,506688,0.019010742857142857,0.2672612419124244
2,-72,23,0,500000000,209612,211120,0.0502976,0.25
1,-77,23,0,500000000,73892,84448,0.06922880000000001,0.28867513459481287
0,-82,23,0,500000000,0,0,0.042773661538461544,0.2773500981126146
1,-77,23,0,500000000,503672,802256,0.07344049230769231,0.2773500981126146
3,-67,23,0,500000000,39208,42224,0.01742686315789474,0.22941573387056177
1,-77,23,0,500000000,0,0,0.06819474285714286,0.2672612419124244
1,-77,23,0,500000000,0,0,0.06364842666666666,0.2581988897471611
1,-77,23,0,500000000,0,0,0.05967039999999999,0.25
0,-82,23,0,500000000,0,0,0.0397184,0.2672612419124244
4,-62,23,0,500000000,46748,295568,0.018510506666666666,0.2581988897471611
1,-77,23,0,500000000,633360,802256,0.06533119999999999,0.24253562503633297
0,-82,23,0,500000000,84448,42224,0.03845632,0.2581988897471611
1,-77,23,0,500000000,0,0,0.06170168888888888,0.23570226039551584
1,-77,23,0,500000000,506688,675584,0.06501861052631579,0.22941573387056177
4,-62,23,0,500000000,0,211120,0.0173536,0.25
3,-67,23,0,500000000,1508,675584,0.01657408,0.22360679774997896
4,-62,23,0,500000000,120640,337792,0.018079623529411764,0.24253562503633297
1,-77,23,0,500000000,548912,675584,0.06852352,0.22360679774997896
2,-72,23,0,500000000,422240,633360,0.0534528,0.24253562503633297
4,-62,23,0,500000000,0,42224,0.0170752,0.23570226039551584
2,-72,23,0,500000000,0,0,0.0504832,0.23570226039551584
0,-82,23,0,500000000,0,0,0.0360528,0.25
4,-62,23,0,500000000,40716,253344,0.016704,0.22941573387056177
3,-67,23,0,500000000,0,84448,0.015784838095238098,0.21821789023599236
4,-62,23,0,500000000,125164,337792,0.01740928,0.22360679774997896
1,-77,23,0,500000000,230724,232232,0.06796495238095239,0.21821789023599236
2,-72,23,0,500000000,0,0,0.04782618947368421,0.22941573387056177
2,-72,23,0,500000000,1508,43732,0.04545344,0.22360679774997896
2,-72,23,0,500000000,760032,971152,0.05219779047619048,0.21821789023599236
3,-67,23,0,500000000,102544,633360,0.01621469090909091,0.21320071635561044
3,-67,23,0,500000000,9048,0,0.015606539130434782,0.20851441405707477
4,-62,23,0,500000000,16588,253344,0.016774704761904763,0.21821789023599236
2,-72,23,0,500000000,167388,253344,0.05169803636363637,0.21320071635561044
1,-77,23,0,500000000,0,0,0.06487563636363637,0.21320071635561044
1,-77,23,0,500000000,0,0,0.06205495652173913,0.20851441405707477
1,-77,23,0,500000000,0,0,0.05946933333333334,0.2041241452319315
4,-62,23,0,500000000,125164,506688,0.017412654545454546,0.21320071635561044
0,-82,23,0,500000000,0,0,0.03393204705882353,0.24253562503633297
4,-62,23,0,500000000,0,253344,0.01665558260869565,0.20851441405707477
0,-82,23,0,500000000,0,0,0.03204693333333333,0.23570226039551584
1,-77,23,0,500000000,19604,42224,0.057283584000000005,0.2
