Action,CST,Tx pow,Repeat,Duration (ns),Tx ok bytes,Tx bytes,Mean,Std
0,-82,23,0,500000000,358904,358904,0.0441728,0.7071067811865476
0,-82,23,0,500000000,295568,422240,0.05370026666666666,0.5773502691896257
0,-82,23,0,500000000,337792,464464,0.061062399999999996,0.5
0,-82,23,0,500000000,211120,295568,0.059243519999999994,0.4472135954999579
0,-82,23,0,500000000,125164,211120,0.05450453333333333,0.408248290463863
0,-82,23,0,500000000,0,0,0.046718171428571424,0.3779644730092272
0,-82,23,0,500000000,0,0,0.040878399999999995,0.3535533905932738
0,-82,23,0,500000000,126672,211120,0.039800888888888886,0.3333333333333333
0,-82,23,0,500000000,211120,337792,0.0410176,0.31622776601683794
0,-82,23,0,500000000,168896,295568,0.04106821818181818,0.30151134457776363
0,-82,23,0,500000000,253344,380016,0.04284266666666667,0.28867513459481287
0,-82,23,0,500000000,295568,380016,0.04514363076923077,0.2773500981126146
0,-82,23,0,500000000,0,0,0.041919085714285716,0.2672612419124244
0,-82,23,0,500000000,0,0,0.03912448,0.2581988897471611
0,-82,23,0,500000000,0,0,0.0366792,0.25
0,-82,23,0,500000000,0,0,0.0345216,0.24253562503633297
0,-82,23,0,500000000,0,0,0.032603733333333336,0.23570226039551584
0,-82,23,0,500000000,0,0,0.030887747368421054,0.22941573387056177
0,-82,23,0,500000000,0,0,0.029343360000000002,0.22360679774997896
0,-82,23,0,500000000,0,0,0.027946057142857146,0.21821789023599236
0,-82,23,0,500000000,0,0,0.02667578181818182,0.21320071635561044
0,-82,23,0,500000000,0,0,0.025515965217391304,0.20851441405707477
0,-82,23,0,500000000,0,0,0.0244528,0.2041241452319315
0,-82,23,0,500000000,0,0,0.023474688,0.2
0,-82,23,0,500000000,0,0,0.022571815384615387,0.19611613513818404
0,-82,23,0,500000000,42224,85956,0.02212077037037037,0.19245008972987526
0,-82,23,0,500000000,253344,422240,0.02355794285714286,0.1889822365046136
0,-82,23,0,500000000,253344,380016,0.024896,0.18569533817705186
0,-82,23,0,500000000,0,0,0.024066133333333337,0.18257418583505536
0,-82,23,0,500000000,0,0,0.023289806451612906,0.1796053020267749
0,-82,23,0,500000000,0,0,0.022562000000000002,0.1767766952966369
0,-82,23,0,500000000,0,0,0.021878303030303033,0.17407765595569785
0,-82,23,0,500000000,211120,295568,0.022763294117647062,0.17149858514250885
0,-82,23,0,500000000,378508,591136,0.024774948571428573,0.1690308509457033
0,-82,23,0,500000000,380016,422240,0.02668515555555556,0.16666666666666666
0,-82,23,0,500000000,631852,760032,0.030167524324324325,0.1643989873053573
0,-82,23,0,500000000,337792,464464,0.031561768421052634,0.16222142113076254
0,-82,23,0,500000000,208104,295568,0.03206596923076923,0.16012815380508713
0,-82,23,0,500000000,211120,337792,0.03256352,0.15811388300841897
0,-82,23,0,500000000,0,0,0.03176928780487805,0.15617376188860607
0,-82,23,0,500000000,251836,380016,0.0324888380952381,0.1543033499620919
0,-82,23,0,500000000,211120,253344,0.03294184186046512,0.15249857033260467
0,-82,23,0,500000000,0,0,0.032193163636363646,0.15075567228888181
0,-82,23,0,500000000,0,337792,0.031477760000000014,0.14907119849998599
0,-82,23,0,500000000,251836,380016,0.03214107826086958,0.14744195615489714
0,-82,23,0,500000000,0,0,0.031457225531914906,0.14586499149789456
0,-82,23,0,500000000,0,0,0.030801866666666677,0.14433756729740643
0,-82,23,0,500000000,0,0,0.03017325714285715,0.14285714285714285
0,-82,23,0,500000000,211120,211120,0.03060915200000001,0.1414213562373095
0,-82,23,0,500000000,464464,548912,0.03225072941176472,0.14002800840280097
0,-82,23,0,500000000,84448,211120,0.03203027692307693,0.1386750490563073
0,-82,23,0,500000000,380016,464464,0.03319088301886793,0.13736056394868904
0,-82,23,0,500000000,211120,337792,0.03353860740740741,0.13608276348795434
0,-82,23,0,500000000,295568,422240,0.034251636363636366,0.13483997249264842
0,-82,23,0,500000000,211120,422240,0.034568,0.1336306209562122
0,-82,23,0,500000000,336284,464464,0.03541378245614035,0.13245323570650439
0,-82,23,0,500000000,295568,464464,0.0360576,0.13130643285972254
0,-82,23,0,500000000,253344,295568,0.03650343050847458,0.13018891098082386
0,-82,23,0,500000000,126672,253344,0.036414720000000005,0.12909944487358055
0,-82,23,0,500000000,42224,211120,0.03598814426229509,0.12803687993289598
0,-82,23,0,500000000,380016,506688,0.036916438709677424,0.1270001270001905
0,-82,23,0,500000000,253344,337792,0.03732033015873017,0.12598815766974242
0,-82,23,0,500000000,85956,128180,0.037067800000000005,0.125
0,-82,23,0,500000000,336284,506688,0.037771027692307696,0.12403473458920845
0,-82,23,0,500000000,253344,422240,0.038143612121212124,0.12309149097933274
0,-82,23,0,500000000,462956,591136,0.03927517611940299,0.12216944435630522
0,-82,23,0,500000000,84448,168896,0.03900329411764707,0.12126781251816648
0,-82,23,0,500000000,0,0,0.03843802898550725,0.1203858530857692
0,-82,23,0,500000000,0,0,0.03788891428571429,0.11952286093343936
0,-82,23,0,500000000,0,0,0.037355267605633805,0.11867816581938534
0,-82,23,0,500000000,0,0,0.03683644444444444,0.11785113019775792
0,-82,23,0,500000000,0,0,0.03633183561643835,0.11704114719613055
0,-82,23,0,500000000,42224,84448,0.03598131891891891,0.11624763874381928
0,-82,23,0,500000000,422240,464464,0.03688738133333333,0.11547005383792516
0,-82,23,0,500000000,253344,380016,0.03722256842105263,0.11470786693528089
0,-82,23,0,500000000,422240,548912,0.03808897662337662,0.11396057645963795
0,-82,23,0,500000000,126672,253344,0.03800041025641025,0.11322770341445958
0,-82,23,0,500000000,168896,380016,0.03804565063291139,0.1125087900926024
0,-82,23,0,500000000,126672,422240,0.03795984,0.11180339887498948
0,-82,23,0,500000000,209612,337792,0.038128197530864195,0.1111111111111111
0,-82,23,0,500000000,337792,380016,0.03867722926829268,0.11043152607484655
0,-82,23,0,500000000,84448,126672,0.038461686746987946,0.10976425998969035
0,-82,23,0,500000000,295568,422240,0.038869942857142854,0.10910894511799618
0,-82,23,0,500000000,295568,295568,0.03926859294117647,0.10846522890932808
0,-82,23,0,500000000,126672,253344,0.0391745488372093,0.10783277320343841
0,-82,23,0,500000000,337792,464464,0.03967999999999999,0.10721125348377948
0,-82,23,0,500000000,211120,295568,0.039819636363636356,0.10660035817780522
0,-82,23,0,500000000,211120,380016,0.03995613483146067,0.105999788000636
0,-82,23,0,500000000,209612,337792,0.040085475555555555,0.10540925533894598
0,-82,23,0,500000000,462956,675584,0.04089726593406594,0.10482848367219183
0,-82,23,0,500000000,380016,591136,0.041469495652173914,0.10425720702853739
