Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,214.792,8.61116,219.164,7.33431,0.818117,5.27976,15.5355,78.3742,0.043912,0,73.2134,0,0,5.11692,90473,136433284,80171,120897868,71379,107639532,2636,234,0,0,0,0
1,0,0,0,0,0.932772,4.75292,0.10182,94.2148,14.0072,0,21.4568,1.24068,0,57.5101,0,0,0,0,0,0,0,0,71379,107639532,0,0
2,0,3.48951,0,3.49856,0.573892,6.48559,6.98969,85.9532,0.026168,0,25.042,0,0,60.885,69683,105081964,35507,53544556,28925,43618900,1037,234,0,0,0,0
3,0,0,0,0,0.577949,61.5215,0.055892,37.847,5.52788,0,19.227,1.23555,0,11.8566,0,0,0,0,0,0,0,0,28925,43618900,0,0
4,0,2.12206,0,2.04424,0.308377,16.2484,3.53999,79.9055,0.007584,0,8.71085,0,0,71.1871,62945,94921060,17590,26525720,17590,26525720,634,0,0,0,0,0
5,0,0,0,0,0.31904,16.4158,0.020264,83.2472,3.34462,0,61.5127,0,0,18.3899,0,0,0,0,0,0,0,0,17590,26525720,0,0
6,0,36.3373,0,39.4999,1.61029,12.8673,58.0051,27.5166,0.130068,0,10.7558,0,0,16.6308,309931,467375948,301699,454962092,301204,454215632,10759,17,0,0,0,0
7,0,0,0,0,1.61572,14.5845,0.345648,83.4534,57.2761,0,9.27115,0.090508,0,16.8157,0,0,0,0,0,0,0,0,301204,454215632,0,0
8,0,4.27126,0,3.34112,0.506356,9.58336,7.70044,82.2092,0.023236,0,21.7916,0,0,60.3943,71201,107371108,39270,59219160,35405,53390740,1270,141,0,0,0,0
9,0,0,0,0,0.529675,9.38088,0.052044,90.0367,6.74187,0,22.6255,0.731108,0,59.9383,0,0,0,0,0,0,0,0,35405,53390740,0,0
10,0,4.52653,0,3.81946,0.548651,9.88692,8.24962,81.3141,0.025632,0,16.7933,0,0,64.4952,72893,109922644,42132,63535056,37521,56581668,1358,155,0,0,0,0
11,0,0,0,0,0.552128,59.8592,0.05676,39.5312,7.19808,0,18.1361,0.820088,0,13.377,0,0,0,0,0,0,0,0,37496,56543968,0,0
